Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
DL,1646,PHX,3,50,212,1
DL,2055,SLC,3,50,210,0
OH,6338,GSO,3,315,93,1
DL,1276,MSP,3,320,158,0
EV,4966,VPS,3,325,69,0
9E,3886,DSM,3,330,135,1
DL,1143,CHS,3,330,72,0
DL,1518,MCO,3,330,84,0
DL,1698,JAX,3,330,80,0
DL,1842,SAT,3,330,142,0
DL,1972,TPA,3,330,85,0
DL,2054,PNS,3,330,75,0
DL,2112,BHM,3,330,58,0
DL,2306,LIT,3,330,97,0
DL,2711,SAV,3,330,65,0
DL,2995,BNA,3,330,67,0
EV,4940,OMA,3,330,147,0
EV,5014,ICT,3,330,132,0
EV,5044,ECP,3,330,68,0
EV,5117,DHN,3,330,70,0
EV,5393,MGM,3,330,57,0
EV,5532,CAE,3,330,64,1
9E,3804,CLE,3,335,128,0
9E,3998,TLH,3,338,68,0
9E,4196,TYS,3,340,57,0
DL,2597,RIC,3,340,109,0
DL,2626,FLL,3,340,118,0
DL,684,AUS,3,340,134,0
EV,5583,CHA,3,340,47,0
9E,3659,ALB,3,345,183,0
DL,1095,OKC,3,345,127,0
DL,1112,PIT,3,345,131,1
DL,2320,PBI,3,345,113,0
DL,2481,ORF,3,345,120,0
DL,2710,DFW,3,345,132,0
DL,2939,DCA,3,345,120,1
EV,5142,AEX,3,345,119,0
EV,5218,SYR,3,345,158,0
EV,5233,BTR,3,345,97,0
EV,5362,SHV,3,345,123,1
EV,5501,VLD,3,345,62,0
DL,1248,IAH,3,350,130,1
DL,1985,DAY,3,350,114,0
DL,2387,MKE,3,350,129,1
DL,734,MCI,3,350,129,0
EV,5165,AGS,3,350,60,0
FL,331,PHL,3,350,145,0
OH,6498,ORD,3,350,128,1
9E,3893,FWA,3,360,115,0
DL,1157,CMH,3,360,110,0
DL,1181,RSW,3,360,110,0
DL,1249,PWM,3,360,192,0
DL,1297,JFK,3,360,168,0
DL,1301,IND,3,360,105,0
DL,1401,BOS,3,360,190,0
DL,1447,LGA,3,360,167,0
DL,1602,LAS,3,360,223,0
DL,1625,BWI,3,360,120,0
DL,1889,CVG,3,360,103,0
DL,1949,RDU,3,360,87,0
DL,2205,MDW,3,360,120,0
DL,2280,STL,3,360,110,1
DL,2437,CLT,3,360,82,1
DL,2581,SDF,3,360,84,0
EV,4946,ABY,3,360,50,0
EV,4979,TRI,3,360,67,0
EV,4998,XNA,3,360,119,0
EV,5027,MLI,3,360,130,0
EV,5079,LYH,3,360,85,0
EV,5141,EVV,3,360,80,0
EV,5169,HPN,3,360,151,0
EV,5275,FAY,3,360,86,0
EV,5313,EWN,3,360,98,0
EV,5316,CSG,3,360,44,0
EV,5366,SGF,3,360,119,0
EV,5374,CAK,3,360,109,1
EV,5387,GPT,3,360,80,1
EV,5435,MLU,3,360,98,1
EV,5460,MOB,3,360,77,1
EV,5479,LFT,3,360,120,0
EV,5491,OAJ,3,360,98,0
EV,5507,CHO,3,360,102,0
EV,5564,ILM,3,360,88,1
EV,5605,ROA,3,360,86,0
EV,7323,BMI,3,360,115,0
FL,143,DTW,3,360,125,0
FL,183,DCA,3,360,123,0
FL,200,CAK,3,360,120,0
FL,254,FNT,3,360,134,0
FL,281,BOS,3,360,180,0
FL,359,LGA,3,360,161,0
FL,429,PNS,3,360,69,0
FL,557,BUF,3,360,135,0
FL,84,FLL,3,360,113,0
FL,901,PHF,3,360,123,0
FL,967,ACY,3,360,135,1
MQ,3807,ORD,3,360,120,1
MQ,4650,LGA,3,360,150,0
DL,1943,EWR,3,363,156,0
DL,1024,BDL,3,365,175,0
DL,1982,MEM,3,365,85,0
EV,5343,GRR,3,365,130,0
FL,290,HOU,3,365,112,0
FL,461,BWI,3,365,126,0
OO,6750,ORD,3,365,124,1
DL,1661,DTW,3,370,136,0
DL,2865,BUF,3,370,154,0
DL,328,JAN,3,370,83,0
EV,5612,MEI,3,370,68,1
FL,69,IAD,3,370,119,0
FL,989,PIT,3,370,120,0
OH,6405,GSO,3,370,93,0
DL,1125,PHF,3,375,116,0
DL,1244,HOU,3,375,130,0
DL,1516,DEN,3,375,170,0
DL,1909,FNT,3,375,146,0
DL,2052,MSY,3,375,95,0
DL,2154,LAX,3,375,252,1
EV,5075,MDT,3,375,133,0
EV,5182,GNV,3,375,75,0
EV,5611,LEX,3,375,85,0
FL,656,SAT,3,375,131,0
FL,96,RDU,3,375,85,0
DL,1449,IAD,3,380,129,0
DL,1872,TPA,3,380,90,0
DL,2346,PDX,3,380,279,0
DL,2513,MSP,3,380,167,1
EV,4991,MYR,3,380,81,0
FL,132,TPA,3,380,95,0
FL,300,DEN,3,380,167,0
FL,684,ICT,3,380,126,0
DL,1241,GSP,3,383,63,1
DL,1592,SAN,3,385,249,0
DL,2283,CAE,3,385,78,1
FL,431,MKE,3,385,129,0
FL,516,CMH,3,385,108,0
FL,234,RIC,3,388,107,0
9E,4117,ROC,3,390,145,1
DL,1162,BNA,3,390,90,0
DL,1254,PNS,3,390,83,1
DL,1418,MCO,3,390,94,0
DL,1758,CHS,3,390,75,0
DL,2061,PHL,3,390,140,1
DL,2504,SAV,3,390,74,0
DL,2613,TYS,3,390,64,0
DL,2826,JAX,3,390,89,0
DL,2853,HSV,3,390,80,0
DL,2960,MIA,3,390,127,0
EV,5413,ATW,3,390,138,1
EV,5600,VPS,3,390,90,1
FL,100,DFW,3,390,125,0
FL,409,IND,3,390,104,1
FL,923,MCI,3,390,125,0
EV,4988,ABE,3,395,145,0
FL,848,MCO,3,395,96,0
AA,536,DFW,3,400,125,0
DL,1040,COS,3,400,169,1
DL,1308,AUS,3,400,142,0
DL,2381,SAT,3,400,138,0
DL,2526,FLL,3,400,123,0
DL,2589,DAB,3,400,92,0
EV,5207,CHA,3,400,52,1
EV,5522,ICT,3,400,129,0
FL,29,MDW,3,400,116,0
FL,311,CLT,3,400,78,0
FL,561,BMI,3,400,104,0
FL,931,JAX,3,400,77,0
DL,1183,ORF,3,405,135,0
DL,1802,SNA,3,405,264,0
DL,1979,BHM,3,405,69,0
DL,2224,PBI,3,405,124,0
EV,5581,GRK,3,405,134,1
EV,7341,OKC,3,405,130,1
OH,6329,CRW,3,405,110,0
DL,1865,DAY,3,410,110,0
DL,2166,MKE,3,410,134,1
EV,5431,MSN,3,410,137,0
FL,796,STL,3,410,105,0
DL,2053,OMA,3,412,153,1
DL,1702,LAS,3,415,225,0
DL,1900,MCI,3,415,134,0
DL,2069,RIC,3,415,125,0
DL,2648,TLH,3,415,72,1
EV,5228,AVL,3,415,69,0
DL,2839,DCA,3,419,135,0
DL,1004,TUL,3,420,122,1
DL,1012,IAH,3,420,130,0
DL,1273,CMH,3,420,115,0
DL,1477,ORD,3,420,125,1
DL,1547,LGA,3,420,164,0
DL,2094,MLB,3,420,113,0
DL,2145,PVD,3,420,179,0
DL,2147,MHT,3,420,184,0
DL,2298,SRQ,3,420,105,0
DL,2610,DFW,3,420,130,1
DL,2646,PHX,3,420,208,0
DL,339,LIT,3,420,95,0
EV,5136,FAY,3,420,97,1
EV,5267,CAK,3,420,129,0
EV,5484,ECP,3,420,80,0
FL,363,LGA,3,420,153,0
FL,60,LAX,3,420,250,0
FL,868,MSP,3,420,156,0
FL,599,ROC,3,421,150,0
DL,2575,GSO,3,423,92,0
DL,1575,IND,3,425,115,0
EV,5302,SHV,3,425,113,1
DL,301,CLT,3,430,91,1
EV,5383,SWF,3,430,160,1
EV,7354,AEX,3,430,114,0
FL,533,MEM,3,430,76,1
DL,2379,SDF,3,431,89,0
DL,1179,STL,3,434,99,1
9E,4045,HPN,3,435,158,1
DL,1165,RDU,3,435,97,0
DL,1480,SFO,3,435,269,0
DL,1501,BOS,3,435,190,0
DL,1657,CVG,3,435,105,0
DL,1672,TPA,3,435,102,0
DL,1725,BWI,3,435,131,1
DL,2043,EWR,3,435,161,0
DL,2065,BDL,3,435,175,0
EV,5073,LEX,3,435,91,1
EV,5160,BTR,3,435,102,0
EV,5339,TRI,3,435,77,0
FL,660,HPN,3,435,145,1
OH,6469,HSV,3,440,67,0
EV,5567,CAE,3,444,76,1
DL,1617,CHS,3,445,80,1
DL,2968,SEA,3,445,285,1
EV,5069,AGS,3,445,77,0
EV,5348,JAN,3,445,89,0
MQ,3607,MIA,3,445,120,0
XE,2246,IAH,3,445,118,0
9E,3776,ROC,3,450,151,0
DL,1187,DTW,3,450,142,0
DL,1618,MCO,3,450,110,0
DL,1800,JAX,3,450,90,0
DL,2190,PNS,3,450,79,1
DL,2420,MSY,3,450,98,1
EV,4969,MGM,3,450,65,0
EV,5189,TYS,3,450,77,0
FL,178,RSW,3,450,108,0
FL,473,BWI,3,450,130,0
XE,2536,CLE,3,450,117,1
DL,1878,SAV,3,453,80,1
9E,4039,GSP,3,455,85,0
DL,2426,FLL,3,455,124,0
EV,5293,BQK,3,455,80,0
FL,72,FLL,3,455,113,0
FL,708,DAY,3,456,108,0
9E,4310,MEM,3,460,90,0
DL,1705,IAD,3,460,124,0
DL,2892,SAN,3,460,243,1
EV,5161,CHA,3,460,59,0
DL,2097,MSP,3,465,155,0
DL,2135,PIT,3,465,133,0
DL,2260,MIA,3,465,129,1
DL,2861,PHL,3,465,159,1
EV,5115,CLE,3,465,127,0
EV,5244,MOB,3,465,81,0
EV,5503,HOU,3,465,118,0
EV,5551,VPS,3,465,79,0
FL,767,PBI,3,465,108,0
DL,16,LAX,3,470,251,1
9E,3999,PHF,3,475,132,1
AA,1140,DFW,3,475,125,0
DL,2194,PBI,3,475,121,0
EV,5575,ILM,3,475,97,1
DL,2739,DCA,3,479,127,1
DL,1156,MDW,3,480,114,0
DL,1440,RSW,3,480,114,1
DL,1524,SAT,3,480,139,1
DL,2047,LGA,3,480,161,0
DL,2348,BHM,3,480,67,1
EV,4952,EYW,3,480,123,1
FL,134,TPA,3,480,100,0
FL,854,MCO,3,480,94,0
US,1983,CLT,3,480,90,0
EV,5067,BNA,3,484,81,0
DL,2073,CMH,3,485,100,1
DL,2635,IND,3,485,108,0
DL,14,LAS,3,487,223,0
EV,5109,BTR,3,490,98,0
DL,1581,TUS,3,495,205,1
DL,1859,JFK,3,495,163,0
DL,2510,DFW,3,495,125,1
FL,773,LAS,3,495,230,0
MQ,3844,ORD,3,495,120,0
MQ,4665,LGA,3,495,165,1
OH,6769,GSO,3,495,108,1
DL,1433,CLT,3,500,83,1
DL,1446,PHX,3,500,211,0
DL,2143,EWR,3,500,160,1
DL,2230,SRQ,3,500,101,1
EV,5071,HSV,3,500,70,0
EV,5488,GNV,3,505,86,0
EV,5531,MYR,3,505,92,0
EV,5597,AGS,3,507,71,0
CO,1142,EWR,3,510,174,0
DL,1136,SLC,3,510,220,0
DL,1257,RDU,3,510,94,0
DL,1261,CHS,3,510,86,0
DL,1452,ABQ,3,510,179,1
DL,1718,MCO,3,510,108,0
DL,1825,BWI,3,510,120,1
DL,1901,BOS,3,510,186,0
DL,1932,JAX,3,510,89,1
DL,2272,TPA,3,510,100,0
DL,2377,ORD,3,510,119,1
EV,4973,FAY,3,510,97,0
DL,1174,SAV,3,512,83,1
9E,4273,GSP,3,515,84,0
DL,1466,SFO,3,520,271,0
EV,5276,CHA,3,520,60,0
EV,5424,AVL,3,520,71,0
FL,273,BOS,3,520,180,0
UA,457,IAD,3,520,115,0
DL,1042,SNA,3,525,247,0
DL,1716,DEN,3,525,178,0
DL,2146,MSY,3,525,85,0
EV,5007,CAE,3,525,85,0
FL,373,LGA,3,528,162,1
DL,1270,STL,3,530,95,0
DL,2326,FLL,3,530,115,1
EV,5178,TLH,3,530,80,0
EV,5230,LIT,3,531,96,1
EV,5421,TYS,3,532,78,1
DL,1893,DTW,3,535,134,0
DL,124,LAX,3,540,253,0
DL,1747,LGA,3,540,160,0
DL,2361,PHL,3,540,145,1
DL,2639,DCA,3,540,125,0
EV,5467,BHM,3,540,61,0
FL,179,RSW,3,540,108,0
EV,5068,JAN,3,543,78,1
DL,1009,MSP,3,550,154,0
EV,5066,VPS,3,551,74,1
EV,5425,ECP,3,553,71,0
DL,1086,MEM,3,555,84,0
EV,7309,MOB,3,555,73,0
AS,742,SEA,3,560,289,1
DL,1090,PNS,3,560,70,1
EV,4965,MGM,3,560,55,1
US,29,CLT,3,560,79,0
DL,309,BNA,3,562,68,1
AA,1296,DFW,3,565,120,0
DL,1101,IAH,3,565,123,0
FL,465,BWI,3,565,124,1
DL,1818,MCO,3,570,93,0
DL,2410,DFW,3,570,127,0
DL,650,MDW,3,570,111,0
EV,5132,AGS,3,570,72,0
DL,1173,CLT,3,573,86,1
DL,2479,MKE,3,573,122,1
DL,1035,IAD,3,575,115,1
EV,4975,CVG,3,575,100,0
EV,5416,LFT,3,575,101,1
9E,3717,HOU,3,576,116,0
DL,1590,MCI,3,577,121,0
EV,5202,CLE,3,579,111,1
DL,420,SJU,3,580,238,1
US,1465,PHL,3,580,143,0
DL,1983,PIT,3,582,108,1
EV,5328,GSP,3,582,65,1
DL,1435,ORF,3,583,115,0
DL,1544,SLC,3,585,220,1
DL,1701,BOS,3,585,179,0
DL,1952,CMH,3,585,101,0
DL,2351,RDU,3,585,90,0
EV,5572,GSO,3,585,88,1
MQ,4654,LGA,3,585,165,0
YV,7267,ORD,3,585,118,1
DL,2493,RIC,3,586,114,0
DL,1572,TPA,3,587,93,0
FL,840,MCO,3,591,90,1
FL,537,MEM,3,594,75,1
DL,1175,DTW,3,595,126,0
EV,5226,AVL,3,597,63,0
DL,1847,LGA,3,600,160,1
DL,1925,BWI,3,600,120,1
DL,1970,MSY,3,600,91,0
