Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
B6,1224,RDU,3,360,101,1
B6,442,TPA,3,360,167,0
UA,226,SFO,3,360,342,0
US,2114,LGA,3,360,62,1
B6,1320,BWI,3,363,77,0
UA,524,ORD,3,365,139,0
US,1812,PHL,3,375,74,0
AA,1466,DFW,3,380,200,1
WN,1591,PHL,3,380,80,0
FL,1435,PHF,3,381,89,1
MQ,4464,LGA,3,385,65,0
B6,1012,JFK,3,390,65,0
B6,1790,DCA,3,390,85,0
CO,1116,EWR,3,390,72,0
DL,1370,LGA,3,390,69,0
FL,805,BWI,3,390,82,0
US,2020,DCA,3,390,79,0
B6,1250,IAD,3,391,89,0
AA,876,ORD,3,395,135,0
WN,178,BWI,3,395,80,0
WN,715,MDW,3,395,135,0
B6,1278,RIC,3,402,93,0
AA,452,MIA,3,405,180,0
EV,5414,DCA,3,415,93,0
AS,30,PDX,3,420,320,1
B6,1240,CLT,3,420,123,0
B6,418,PBI,3,420,172,0
B6,920,ORD,3,420,131,1
DL,2630,MSP,3,420,166,0
OH,6581,RDU,3,420,130,0
US,2116,LGA,3,420,65,0
B6,1212,BUF,3,425,86,0
WN,1852,PHL,3,425,85,0
B6,1290,PIT,3,431,94,0
US,1612,PHL,3,435,78,0
WN,526,BWI,3,435,80,0
B6,450,FLL,3,440,179,0
AA,222,LAX,3,445,320,0
DL,1372,LGA,3,450,66,1
OH,6302,CVG,3,450,130,0
US,2022,DCA,3,450,84,0
DL,1600,ATL,3,455,153,0
DL,2122,DTW,3,455,127,0
XE,2128,CLE,3,460,95,0
FL,995,MKE,3,465,133,0
CO,282,IAH,3,470,218,0
F9,326,MKE,3,470,133,0
OH,6404,DCA,3,475,93,0
US,1982,CLT,3,475,123,0
AA,1106,DFW,3,480,210,1
US,2118,LGA,3,480,64,0
UA,744,DEN,3,487,227,0
WN,2113,PHL,3,490,90,0
OH,6402,JFK,3,495,88,0
US,1112,PHL,3,495,85,1
AA,1718,ORD,3,510,130,1
CO,1120,EWR,3,510,90,1
DL,1374,LGA,3,510,71,0
FL,807,BWI,3,510,79,1
US,2024,DCA,3,510,82,1
UA,172,SFO,3,511,338,1
B6,1322,BWI,3,515,77,0
EV,4956,MEM,3,515,168,0
UA,347,LAX,3,515,326,0
WN,1265,MDW,3,515,135,0
MQ,4381,JFK,3,520,70,0
DL,1700,ATL,3,525,160,0
FL,272,ATL,3,525,147,0
MQ,4502,LGA,3,525,65,1
AS,12,SEA,3,530,316,1
B6,1252,IAD,3,530,85,1
B6,1222,RDU,3,535,100,0
EV,5208,DCA,3,535,93,0
US,2120,LGA,3,540,75,1
9E,4260,RDU,3,550,123,0
UA,494,ORD,3,550,139,0
US,1716,PHL,3,555,75,0
WN,1178,STL,3,555,155,1
B6,1292,PIT,3,565,93,0
B6,1004,JFK,3,567,70,0
DL,1376,LGA,3,570,74,0
US,2026,DCA,3,570,81,1
WN,794,BWI,3,580,80,1
US,1800,CLT,3,585,134,0
DL,1922,DTW,3,590,112,1
B6,430,MCO,3,595,164,1
DL,1200,ATL,3,595,163,0
EV,5250,DCA,3,595,94,1
US,220,PHX,3,595,294,0
B6,680,DCA,3,600,80,0
DL,1210,SLC,3,600,274,0
DL,2530,MSP,3,600,162,0
