Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
UA,576,SEA,3,331,159,0
OO,6644,TUS,3,333,112,0
OO,6647,BZN,3,345,107,0
UA,756,SFO,3,348,158,0
F9,225,MDW,3,360,157,1
OO,6285,MFR,3,360,155,1
OO,6586,PSP,3,360,131,0
OO,6612,SLC,3,360,93,0
OO,6682,SBA,3,360,142,0
OO,6732,MRY,3,360,146,0
OO,6949,EUG,3,360,155,0
UA,18,LAX,3,360,146,0
UA,32,PDX,3,360,146,0
UA,410,SMF,3,360,144,0
UA,707,ORD,3,360,160,0
UA,740,OAK,3,360,146,0
WN,109,MSY,3,360,180,0
WN,1929,LAX,3,360,135,0
WN,2529,IND,3,360,185,1
WN,647,PHX,3,360,105,1
WN,735,IAD,3,360,240,0
WN,748,SMF,3,360,145,1
OO,6497,BFL,3,362,144,0
OO,6749,RAP,3,362,76,0
OO,7052,DRO,3,362,76,0
OO,6558,RNO,3,365,129,0
OO,6722,PSC,3,365,139,1
UA,112,ONT,3,365,139,0
WN,1481,BNA,3,365,185,1
WN,1687,STL,3,365,150,1
WN,1945,SEA,3,365,160,1
WN,2885,LAS,3,365,115,0
WN,317,MDW,3,365,170,1
F9,653,ATL,3,370,201,1
OO,6674,FAT,3,370,134,0
WN,1762,OAK,3,370,155,0
WN,3684,SAT,3,370,145,0
WN,380,SFO,3,370,155,0
WN,682,AUS,3,370,140,0
UA,791,LAS,3,371,120,0
UA,871,MCI,3,372,118,0
UA,243,MSP,3,373,139,0
UA,812,GEG,3,373,133,0
F9,103,MSP,3,375,131,0
F9,143,HOU,3,375,146,0
F9,192,DAY,3,375,189,0
F9,262,STL,3,375,144,0
F9,38,SEA,3,375,154,0
F9,496,CAK,3,375,202,1
UA,33,DFW,3,375,136,0
OO,6438,GJT,3,378,60,0
OO,7037,CPR,3,378,69,0
UA,484,SAN,3,378,149,0
UA,988,DSM,3,379,127,0
F9,650,SFO,3,380,150,0
F9,765,AUS,3,380,133,1
OO,6701,FAR,3,380,128,0
OO,6974,HDN,3,380,67,1
UA,658,SJC,3,380,156,0
WN,496,PDX,3,380,145,1
OO,6727,MTJ,3,384,63,0
F9,71,DTW,3,385,189,0
F9,790,PDX,3,385,144,1
UA,491,OKC,3,387,113,0
OO,6564,COS,3,389,49,0
F9,416,LAX,3,390,140,0
F9,510,SAN,3,390,143,0
WN,1254,TUS,3,390,115,1
WN,2459,OKC,3,390,100,1
WN,324,GEG,3,390,135,1
WN,459,ONT,3,390,135,1
UA,268,OMA,3,393,107,1
F9,304,GEG,3,395,130,0
WN,134,SAN,3,395,140,0
WN,200,BWI,3,395,255,0
WN,752,HOU,3,395,155,1
OO,6293,FSD,3,398,102,1
UA,875,ICT,3,399,101,1
OO,6540,BIS,3,400,107,0
UA,471,TUL,3,400,110,0
WN,1122,DTW,3,400,200,1
WN,1615,MSP,3,400,140,0
WN,973,SJC,3,400,145,1
AA,393,DFW,3,405,125,0
F9,265,SNA,3,405,145,0
F9,822,MCI,3,405,110,1
F9,847,IND,3,405,169,0
OO,4668,SLC,3,405,85,1
OO,6816,SGF,3,405,131,0
WN,153,LAS,3,405,115,0
OO,6764,LNK,3,408,97,0
WN,661,PHX,3,410,110,1
UA,323,PHL,3,415,271,0
F9,766,LAS,3,420,110,0
OO,6738,ASE,3,420,55,0
UA,144,SFO,3,420,165,0
UA,415,MSY,3,420,186,0
UA,440,SNA,3,420,155,1
WN,1006,BOI,3,420,110,1
WN,598,MCI,3,420,120,1
UA,264,PHX,3,424,111,0
UA,386,SEA,3,427,168,1
OO,6394,FCA,3,428,130,0
OO,6656,JAC,3,429,87,1
UA,739,MCO,3,430,256,0
OO,6873,PSP,3,432,131,0
UA,445,BWI,3,433,253,0
OO,6530,COD,3,434,82,1
B6,495,BOS,3,435,280,0
DL,1709,MSP,3,435,135,0
OO,6734,MSO,3,435,123,0
UA,328,LAX,3,435,152,1
CO,199,IAH,3,440,157,1
WN,2807,OMA,3,440,100,1
WN,3512,SLC,3,440,90,0
WN,731,LAX,3,440,140,0
OO,6550,TUS,3,445,116,1
OO,6724,BZN,3,445,107,0
UA,833,BOI,3,445,110,1
OO,6604,SLC,3,447,98,0
UA,300,RNO,3,448,140,0
UA,388,TPA,3,449,247,0
OO,6482,GTF,3,450,112,0
UA,422,BIL,3,451,94,0
OO,6228,ELP,3,453,116,0
OO,6870,HLN,3,453,113,0
UA,339,BOS,3,456,283,0
UA,270,ONT,3,459,148,0
AS,676,SEA,3,460,155,0
F9,383,FLL,3,460,268,1
OO,6668,IDA,3,460,102,0
OO,7028,COS,3,460,50,0
OO,6371,GCC,3,463,92,0
OO,6676,FAT,3,463,143,1
F9,170,TUS,3,465,108,0
F9,868,PHX,3,465,105,0
UA,648,ABQ,3,465,88,0
US,1521,CLT,3,465,225,0
WN,703,TUL,3,465,110,0
UA,20,SMF,3,466,153,0
UA,743,PIT,3,467,228,1
F9,572,SLC,3,470,82,1
OO,6606,EGE,3,470,53,0
US,981,PHL,3,470,264,0
OO,6669,GUC,3,471,50,0
UA,848,SJC,3,473,164,0
UA,311,EWR,3,475,279,0
OO,6698,PDX,3,477,145,0
OO,6638,RKS,3,480,85,0
OO,6767,RAP,3,480,76,0
OO,7046,DRO,3,480,76,1
UA,316,SNA,3,480,152,0
UA,361,LGA,3,480,276,0
WN,2461,PHL,3,480,285,1
OO,6745,BUR,3,483,136,0
MQ,3815,ORD,3,485,160,0
WN,912,SNA,3,485,140,1
UA,418,SAN,3,492,148,0
UA,579,DSM,3,492,123,0
OO,6447,HSV,3,495,197,0
WN,1678,BOS,3,495,295,1
F9,772,LAS,3,497,108,0
OO,6886,GJT,3,497,59,0
UA,977,IAD,3,499,255,1
DL,1517,ATL,3,500,213,1
OO,6742,ASE,3,500,55,0
UA,660,LAS,3,501,121,0
UA,43,IAH,3,505,161,0
UA,558,LAX,3,509,145,0
F9,377,MKE,3,510,155,1
OO,4590,SLC,3,510,85,1
WN,160,FLL,3,510,280,0
OO,6731,MKE,3,511,185,1
F9,794,PDX,3,515,143,0
UA,758,SFO,3,515,149,0
WN,1135,BDL,3,515,275,1
F9,505,LGA,3,520,272,1
F9,677,MCO,3,522,243,0
UA,369,SAT,3,522,144,1
OO,6664,MSO,3,523,123,0
OO,6990,PIA,3,524,157,0
AA,2065,DFW,3,525,125,1
CO,799,IAH,3,525,158,1
DL,2215,DTW,3,525,203,1
F9,721,DCA,3,525,248,0
OO,6872,MOT,3,525,97,0
UA,456,MSP,3,525,141,0
F9,361,TPA,3,526,239,0
UA,675,ORD,3,527,170,0
OO,6328,TUS,3,529,120,1
OO,6607,MEM,3,529,169,0
CO,628,EWR,3,530,282,1
F9,844,SEA,3,530,151,0
OO,6957,MAF,3,530,118,0
WN,1075,ABQ,3,530,75,1
OO,6595,SLC,3,534,100,0
OO,6532,CLE,3,535,206,1
OO,6895,LIT,3,535,156,1
WN,949,MCO,3,535,255,1
CO,1421,CLE,3,540,205,1
UA,534,PHX,3,540,120,0
WN,1684,TPA,3,540,250,0
WN,3658,RDU,3,540,250,1
WN,869,AMA,3,540,80,1
OO,6733,TYS,3,543,214,1
F9,400,LAX,3,545,140,1
F9,618,PHX,3,545,105,0
WN,2357,SLC,3,545,90,0
OO,6920,COS,3,547,49,0
WN,1126,PHX,3,550,110,1
DL,1509,MSP,3,555,125,0
DL,1459,CVG,3,560,197,1
OO,6685,CID,3,560,145,1
UA,315,DFW,3,560,136,0
WN,1264,LAS,3,560,115,1
US,1525,CLT,3,564,223,1
OO,6681,XNA,3,565,123,0
MQ,3001,LAX,3,570,140,0
UA,427,IAD,3,572,241,1
OO,6736,RAP,3,574,76,0
WN,741,SFO,3,575,150,1
UA,441,BWI,3,576,247,0
OO,6982,CPR,3,579,59,0
WN,1017,MCI,3,580,120,1
OO,6634,OMA,3,581,108,0
UA,709,ORD,3,583,167,0
OO,4818,SLC,3,585,85,0
OO,6617,OKC,3,585,106,0
US,486,PHX,3,585,109,0
F9,762,LAS,3,587,110,0
OO,6837,DRO,3,588,62,1
OO,6555,GJT,3,592,58,0
UA,133,LAS,3,593,117,0
OO,6688,ICT,3,595,96,0
WN,987,MDW,3,595,165,1
UA,731,EWR,3,597,268,1
OO,6583,COS,3,600,49,1
WN,3763,SLC,3,600,90,0
OO,6860,ABQ,3,604,76,1
OO,6968,BOI,3,606,108,1
UA,785,BOS,3,607,287,0
AA,1241,DFW,3,610,125,0
FL,303,ATL,3,610,215,1
WN,354,OAK,3,610,145,1
OO,6625,BZN,3,611,96,0
F9,659,MSP,3,612,130,0
OO,6593,BIL,3,612,88,0
WN,958,SAN,3,615,135,0
OO,6627,MSN,3,619,168,1
UA,405,LGA,3,620,272,1
WN,370,LAX,3,620,135,0
F9,234,SNA,3,626,129,0
OO,6880,SLC,3,629,85,0
F9,123,DFW,3,630,121,0
WN,1980,BWI,3,635,260,1
WN,530,HOU,3,635,150,1
F9,367,MKE,3,640,155,0
WN,518,SNA,3,640,135,0
F9,178,TUS,3,645,107,1
F9,846,SEA,3,651,150,1
F9,654,SFO,3,654,146,0
DL,1717,ATL,3,660,207,0
F9,226,SMF,3,660,134,1
F9,404,LAX,3,660,134,1
F9,516,PDX,3,660,142,1
F9,558,SAN,3,660,133,0
OO,4700,SLC,3,663,87,1
UA,279,ORD,3,666,165,0
WN,196,SEA,3,670,160,1
OO,7027,COS,3,672,40,0
UA,450,SNA,3,678,139,0
OO,7044,OMA,3,679,97,0
WN,1115,MSP,3,680,135,1
OO,6296,ONT,3,681,137,0
OO,6544,ASE,3,682,45,1
UA,862,SFO,3,682,152,0
OO,6876,PDX,3,683,145,1
UA,876,SEA,3,683,152,1
OO,6297,PSP,3,684,131,0
AA,1847,DFW,3,685,125,0
WN,2092,STL,3,685,150,1
OO,6881,SMF,3,687,137,1
F9,784,LAS,3,688,112,0
OO,6574,RDM,3,688,136,1
UA,342,SAN,3,688,142,0
OO,6878,SJC,3,689,145,0
UA,814,LAX,3,689,145,0
WN,1952,LAX,3,690,135,1
WN,3138,IND,3,690,185,1
OO,6621,GEG,3,691,134,0
OO,6560,AUS,3,692,134,1
DL,1809,MSP,3,695,127,0
UA,259,MCO,3,695,253,0
UA,367,IAH,3,695,156,0
OO,6542,DRO,3,696,58,0
WN,3421,MDW,3,705,160,1
OO,6926,RNO,3,708,134,0
US,487,CLT,3,710,234,0
OO,6636,PSC,3,712,131,1
DL,1411,DTW,3,715,190,0
UA,503,DFW,3,716,128,0
UA,267,ORD,3,717,158,1
OO,6823,BOI,3,719,108,1
UA,98,LAS,3,719,117,0
MQ,3044,LAX,3,725,140,0
OO,6361,FAR,3,726,118,1
UA,781,MCI,3,730,114,1
FL,642,MKE,3,733,160,0
OO,6257,TUL,3,733,106,1
MQ,3702,ORD,3,735,160,1
WN,1657,MCI,3,735,110,1
OO,6960,RAP,3,738,69,0
WN,1383,SLC,3,740,85,1
OO,6695,ELP,3,741,108,0
UA,517,IAD,3,742,233,1
OO,6942,COS,3,744,40,0
WN,2004,MDW,3,745,160,1
WN,300,LAS,3,745,115,1
WN,1065,BNA,3,750,180,1
AA,1259,DFW,3,755,125,0
OO,6258,EGE,3,755,53,1
WN,1185,SFO,3,755,150,0
WN,351,SAN,3,755,135,1
WN,3920,OKC,3,755,100,1
OO,4518,SLC,3,760,83,0
F9,530,MDW,3,765,155,0
WN,429,LAX,3,765,135,1
OO,6573,HDN,3,769,56,1
OO,6377,CPR,3,770,55,0
OO,6950,PHX,3,770,103,1
WN,759,ABQ,3,770,75,1
OO,6527,MTJ,3,773,54,0
WN,3311,AUS,3,775,140,1
WN,484,PHX,3,775,105,1
UA,753,SFO,3,778,156,1
OO,6700,LNK,3,780,92,1
WN,1167,PDX,3,780,145,1
WN,778,SJC,3,780,145,1
UA,336,LAX,3,781,145,0
OO,7048,ICT,3,782,90,0
OO,6337,GJT,3,783,57,1
AS,672,SEA,3,785,155,0
WN,174,SMF,3,785,140,0
WN,546,OMA,3,785,100,1
WN,899,OAK,3,785,140,1
OO,7050,GCC,3,788,92,1
WN,368,PHL,3,790,280,1
WN,705,TUL,3,790,110,1
OO,6735,MSO,3,792,112,0
UA,247,LAS,3,792,114,0
US,488,PHX,3,795,109,0
WN,1594,RNO,3,795,130,1
OO,6541,BIS,3,798,102,0
OO,6242,OMA,3,801,96,1
OO,6632,SGF,3,803,131,1
UA,408,SNA,3,804,139,0
OO,6626,PSP,3,805,122,1
OO,6718,XNA,3,806,123,0
OO,6726,JAC,3,806,74,1
DL,1409,MSP,3,810,129,0
WN,1057,LAS,3,810,115,0
OO,6937,DRO,3,811,60,0
EV,5005,MEM,3,815,155,1
OO,6534,IDA,3,815,89,0
UA,212,GEG,3,816,129,1
UA,523,FSD,3,817,108,0
UA,735,OKC,3,818,106,0
UA,406,BIL,3,822,92,0
OO,6927,HLN,3,823,107,1
OO,6615,GTF,3,824,112,0
OO,6981,TUS,3,824,110,0
AA,1073,DFW,3,825,120,1
F9,727,DCA,3,825,237,0
OO,6563,ASE,3,825,45,1
OO,6765,BZN,3,826,104,0
F9,826,MCI,3,830,105,0
OO,4604,SLC,3,830,83,0
OO,6590,MEM,3,832,169,0
OO,6728,BOI,3,832,108,0
OO,6484,ATW,3,837,165,0
OO,6611,PHX,3,837,102,0
DL,1817,ATL,3,840,200,1
OO,6988,COS,3,844,40,1
F9,135,DFW,3,847,120,0
OO,6999,MAF,3,848,118,0
WN,856,HOU,3,850,150,1
F9,107,MSP,3,851,124,0
CO,599,IAH,3,855,149,1
DL,1609,MSP,3,860,123,0
OO,6663,EUG,3,861,145,0
UA,748,LAX,3,861,141,0
UA,356,SEA,3,863,157,0
F9,371,MKE,3,865,155,0
OO,6570,HSV,3,869,178,0
WN,1022,BWI,3,870,255,1
WN,59,PHX,3,870,110,1
FL,301,ATL,3,871,214,1
OO,6675,FAT,3,872,134,1
UA,779,BOS,3,874,287,1
OO,6614,PSC,3,875,131,1
UA,448,SMF,3,876,144,1
UA,572,PDX,3,877,150,0
OO,6643,RAP,3,879,77,1
AA,789,ORD,3,880,155,1
F9,217,AUS,3,880,130,0
F9,231,BNA,3,880,173,0
OO,6762,SBA,3,880,142,0
WN,2383,MCO,3,880,260,1
UA,716,ONT,3,882,132,0
UA,168,SJC,3,884,153,1
UA,453,BWI,3,884,249,0
CO,728,EWR,3,885,266,1
UA,726,OAK,3,885,149,0
WN,1624,SEA,3,885,160,1
UA,745,LGA,3,888,276,1
F9,652,SFO,3,890,147,0
OO,6956,RNO,3,890,134,0
