Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
AA,2400,LAX,3,20,165,1
AA,2466,SFO,3,20,195,1
AA,2408,LAX,3,55,170,0
MQ,2734,ABI,3,350,50,0
MQ,2796,GRR,3,350,175,0
MQ,3332,LBB,3,350,70,0
MQ,2864,SGF,3,355,90,0
AA,1056,TUL,3,360,70,0
AA,1140,SAT,3,360,65,0
AA,1143,TPA,3,360,170,0
AA,1215,DCA,3,360,210,0
AA,1225,COS,3,360,120,0
AA,1406,OMA,3,360,125,0
AA,1584,LAS,3,360,160,0
AA,1596,PDX,3,360,225,0
AA,1602,ELP,3,360,100,0
AA,1615,BDL,3,360,260,0
AA,1755,ABQ,3,360,105,0
AA,1839,OKC,3,360,60,0
AA,1878,SMF,3,360,205,0
AA,1965,STL,3,360,115,0
AA,2301,ORD,3,360,150,1
AA,526,SFO,3,360,215,0
AA,654,PHX,3,360,130,0
AA,708,AUS,3,360,60,0
MQ,2731,CVG,3,360,165,0
MQ,2750,JAN,3,360,100,1
MQ,2963,CID,3,360,140,0
MQ,3256,GRK,3,360,50,0
MQ,3265,HOU,3,360,70,0
MQ,3280,CRP,3,360,80,0
MQ,3325,DSM,3,360,130,0
MQ,3357,MOB,3,360,115,0
MQ,3372,BTR,3,360,90,0
MQ,3450,XNA,3,360,70,0
MQ,3512,MKE,3,360,165,0
AA,1002,DEN,3,365,125,0
AA,1331,MCI,3,365,105,0
AA,1698,SLC,3,365,170,0
AA,697,FLL,3,365,190,0
AA,705,LGA,3,365,250,0
MQ,3366,CAE,3,365,185,0
MQ,3391,TXK,3,365,60,1
AA,1032,ONT,3,370,180,0
AA,2410,LAX,3,370,185,0
AA,488,SEA,3,370,230,1
AA,817,BNA,3,370,130,0
MQ,2743,FAY,3,370,195,0
AA,2258,SAT,3,375,65,0
MQ,2810,SHV,3,375,60,0
MQ,3314,FWA,3,375,165,0
AA,1185,RDU,3,380,200,1
AA,1280,SJC,3,380,215,0
AA,2065,MFE,3,380,95,0
AA,689,ORF,3,380,220,1
MQ,2985,AGS,3,380,175,0
MQ,3302,MLI,3,380,140,0
AA,1361,HSV,3,385,135,0
AA,419,BOS,3,385,270,0
AA,509,DTW,3,385,185,0
AA,608,SAN,3,385,185,0
MQ,2782,LEX,3,385,160,1
MQ,2830,PNS,3,385,125,0
AA,1083,IAD,3,390,210,0
MQ,2738,GSP,3,390,175,0
MQ,2935,MSN,3,390,160,0
MQ,3322,GSO,3,390,200,0
MQ,3534,LIT,3,390,80,0
AA,1810,AUS,3,395,65,0
MQ,2878,GJT,3,395,135,0
MQ,2940,ABI,3,395,50,0
UA,507,ORD,3,396,158,0
AA,1019,CLT,3,400,185,0
AA,1467,MSY,3,400,100,0
AA,1477,PHL,3,400,235,0
AA,1789,ICT,3,400,85,0
AA,495,MIA,3,400,195,1
MQ,3542,CLE,3,400,185,0
AA,1648,SNA,3,405,185,0
AA,1794,FAT,3,405,195,0
CO,1131,EWR,3,405,250,0
MQ,2751,SGF,3,405,95,0
AA,1154,PSP,3,410,170,1
AA,2412,LAX,3,410,185,1
AA,538,BUR,3,410,185,0
MQ,3268,ACT,3,410,45,0
AA,1241,PIT,3,415,205,0
AA,1273,MEM,3,415,100,0
AA,1461,MCO,3,415,185,1
AA,1533,ATL,3,415,150,0
AA,501,BHM,3,415,130,0
MQ,2786,GPT,3,415,110,1
AA,1352,AUS,3,420,65,0
AA,1629,RIC,3,420,215,0
AA,1841,SDF,3,420,150,0
AA,2303,ORD,3,420,155,1
AA,385,BWI,3,420,215,0
AA,555,CMH,3,420,180,0
AA,707,LGA,3,420,250,0
AA,732,RNO,3,420,200,0
AS,660,SEA,3,420,230,0
F9,128,DEN,3,420,110,0
MQ,2710,XNA,3,420,75,0
MQ,2818,MGM,3,420,125,0
MQ,2903,VPS,3,420,140,0
AA,1495,JAX,3,425,175,0
AA,1912,PHX,3,425,140,0
AA,1922,ABQ,3,425,105,0
AA,621,MSP,3,425,165,0
AA,728,LAS,3,425,160,0
AA,879,TUL,3,425,70,0
MQ,2980,CSG,3,425,150,1
AA,1599,DAY,3,430,175,0
AA,323,BNA,3,430,135,0
MQ,2970,AEX,3,430,80,0
MQ,3396,MAF,3,430,75,0
AA,812,SEA,3,435,235,0
MQ,2946,LCH,3,435,80,0
AA,1264,DEN,3,440,125,0
AA,1335,DCA,3,440,215,0
AA,1355,BOS,3,440,270,0
AA,2416,LAX,3,440,180,1
AA,460,IAH,3,440,75,0
AA,600,SFO,3,440,210,0
DL,2711,ATL,3,440,150,0
MQ,2754,LFT,3,440,90,0
MQ,2838,SAV,3,440,180,0
MQ,2920,CMI,3,440,145,0
MQ,2717,ROW,3,445,85,1
AA,1093,EWR,3,450,250,0
AA,1418,SAN,3,450,175,0
AA,1740,SNA,3,450,175,0
AA,2413,OKC,3,450,65,0
MQ,3272,PIA,3,455,135,0
US,1267,PHL,3,457,235,1
AA,592,COS,3,460,115,0
AA,893,CLT,3,460,165,0
MQ,2816,MHK,3,460,100,0
MQ,2852,SGF,3,460,95,0
MQ,2965,LRD,3,460,85,1
MQ,3384,CHS,3,460,190,0
OO,6234,LAX,3,464,177,1
AA,1167,RDU,3,465,195,0
AA,1287,AUS,3,465,65,0
AA,2081,MCO,3,465,180,0
AA,726,ELP,3,465,105,0
CO,615,IAH,3,465,71,0
MQ,2793,FSD,3,465,150,0
AA,1347,SAT,3,470,70,0
AA,1099,IND,3,475,150,0
AA,1775,RSW,3,475,185,1
AA,1871,PBI,3,475,190,0
AA,2043,MCI,3,475,110,0
MQ,3358,XNA,3,480,75,0
US,540,PHX,3,480,138,0
AA,1237,PHX,3,485,135,0
AA,2305,ORD,3,485,150,1
AA,717,LGA,3,485,250,0
AA,1098,TUS,3,490,130,1
AA,1356,MSY,3,490,105,0
AA,2545,OMA,3,490,130,1
MQ,2953,AMA,3,490,70,0
UA,228,DEN,3,493,119,0
AA,1173,STL,3,495,115,1
AA,1486,LAS,3,495,160,0
AA,2422,LAX,3,495,180,0
MQ,3373,CRP,3,495,80,0
AA,1132,SMF,3,500,200,0
AA,1205,PHL,3,500,240,0
AA,1216,SAT,3,500,70,0
AA,1303,TPA,3,500,170,0
AA,1381,ATL,3,500,155,1
AA,1646,TUL,3,500,80,1
AA,2229,MIA,3,500,200,0
AA,826,SLC,3,500,170,0
AA,877,DCA,3,500,210,0
MQ,2778,TYS,3,500,160,0
MQ,2974,ABI,3,500,55,0
AA,1720,SEA,3,505,230,0
AA,367,FLL,3,505,195,0
DL,2611,ATL,3,505,160,0
MQ,2871,JAN,3,505,95,0
AA,1218,PDX,3,510,225,1
AA,1625,SJU,3,510,325,0
