Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
DL,2722,PHX,3,30,228,0
9E,3775,ALB,3,330,120,1
DL,1511,MSN,3,330,80,0
9E,3661,CAK,3,335,76,0
9E,3725,TVC,3,335,75,0
OH,6423,DAY,3,335,75,0
DL,2123,BOS,3,340,144,0
9E,3949,PVD,3,345,135,1
9E,4143,FWA,3,345,59,0
DL,1506,LAX,3,345,270,0
DL,1580,SFO,3,345,270,0
9E,3718,ERI,3,350,65,1
DL,2405,PHL,3,350,115,0
OH,6629,GRR,3,350,61,0
9E,4391,MBS,3,351,59,0
9E,3935,EWR,3,355,130,1
DL,377,BDL,3,355,130,0
OH,6262,OMA,3,355,137,1
OH,6414,AZO,3,355,58,0
9E,3724,ABE,3,360,115,0
9E,3755,SWF,3,360,120,0
9E,3757,BGM,3,360,103,0
9E,3845,AVP,3,360,105,0
9E,3850,FNT,3,360,48,0
9E,3871,BHM,3,360,125,0
9E,3875,GSP,3,360,115,0
9E,4026,ORF,3,360,125,1
9E,4058,LAN,3,360,50,0
9E,4239,ITH,3,360,97,1
DL,1445,DCA,3,360,102,0
DL,1504,MCI,3,360,118,0
DL,1767,CLT,3,360,115,0
DL,2480,SEA,3,360,253,0
DL,2816,LAS,3,360,233,0
EV,5011,ROA,3,360,98,0
EV,5265,SYR,3,360,115,0
OH,6341,RIC,3,360,125,0
DL,1937,BWI,3,365,103,0
DL,2931,LGA,3,365,118,0
OH,6358,LIT,3,365,131,0
9E,3683,SCE,3,370,90,0
OH,6360,MDT,3,370,107,0
9E,3692,FSD,3,375,130,1
9E,3751,ROC,3,375,103,0
9E,4259,PLN,3,375,95,0
9E,4388,IAD,3,375,108,0
9E,4390,CID,3,375,106,0
DL,1762,BNA,3,375,126,0
EV,4993,ATL,3,375,110,1
OH,6621,LEX,3,379,86,0
9E,4138,BUF,3,380,85,0
9E,3928,PIA,3,385,93,0
DL,1092,TPA,3,385,169,0
9E,3890,DLH,3,390,112,0
9E,3974,TVC,3,390,82,0
9E,4014,IND,3,390,80,0
OH,6276,CRW,3,390,79,1
9E,3808,BMI,3,395,87,0
DL,1490,MSP,3,395,112,0
DL,1829,GRR,3,400,70,0
DL,2514,STL,3,400,100,0
MQ,4343,ORD,3,405,85,0
DL,1922,MKE,3,410,75,1
9E,3697,LAN,3,420,60,0
9E,3721,MBS,3,420,59,0
9E,3891,MDW,3,420,84,1
9E,3982,EVV,3,420,95,0
DL,1163,EWR,3,420,128,0
DL,1232,SLC,3,420,221,1
DL,1415,SAT,3,420,185,0
DL,2120,ORD,3,420,90,1
DL,2937,MSN,3,420,84,0
EV,7307,BOS,3,420,150,0
OH,6382,AZO,3,420,60,0
OH,6578,CLE,3,420,59,0
OH,6680,ATW,3,420,79,0
XE,2360,EWR,3,420,119,0
DL,2922,PHX,3,425,230,0
9E,3936,GRB,3,430,80,1
9E,3720,TYS,3,435,108,0
AA,1322,DFW,3,435,160,0
DL,2831,LGA,3,435,125,0
OH,6493,GSO,3,435,125,1
DL,104,ATL,3,445,118,0
XE,2333,IAH,3,445,177,0
DL,1545,DCA,3,450,100,0
DL,1989,PHL,3,450,125,0
DL,2337,BWI,3,450,102,0
EV,5256,TRI,3,450,115,0
EV,5258,DFW,3,450,157,0
9E,4287,CVG,3,460,87,1
DL,1904,FLL,3,470,185,1
WN,2543,MDW,3,470,70,0
DL,325,IND,3,475,81,0
9E,3710,SBN,3,480,70,1
9E,4230,FWA,3,480,64,0
DL,1500,MCI,3,485,115,0
DL,1610,DEN,3,485,169,0
9E,3826,AZO,3,495,67,0
9E,4153,MBS,3,495,59,0
9E,4212,LAN,3,495,63,0
DL,1005,ATL,3,495,125,1
DL,1198,RSW,3,500,174,0
DL,2198,MSP,3,500,109,0
DL,2328,MCO,3,500,160,0
9E,3705,BGR,3,504,156,0
DL,2137,MEM,3,505,115,0
OH,6617,GRR,3,505,63,0
DL,2192,TPA,3,510,158,1
9E,3768,ELM,3,515,98,0
9E,4197,PWM,3,520,147,0
DL,1123,SLC,3,520,216,0
OH,6670,PVD,3,520,142,0
XE,2940,EWR,3,520,137,0
DL,2078,AUS,3,525,174,1
9E,4234,MDW,3,530,79,0
DL,2430,BNA,3,530,100,0
EV,5105,JAX,3,530,148,0
EV,5134,IAH,3,530,168,0
AA,616,DFW,3,535,150,1
FL,140,ATL,3,535,118,0
WN,1976,STL,3,535,90,1
DL,2023,BOS,3,537,148,0
DL,159,LGA,3,540,124,0
DL,1688,MHT,3,540,140,0
DL,2572,STL,3,540,90,0
DL,1606,LAX,3,545,270,0
DL,142,SFO,3,547,273,0
MQ,4609,LGA,3,550,130,1
9E,4075,ORF,3,559,121,1
DL,1493,EWR,3,562,121,1
DL,2080,SEA,3,565,260,0
9E,4028,RDU,3,568,117,0
OH,6387,ROC,3,570,97,0
9E,3807,GSP,3,571,114,1
DL,2958,CLT,3,571,119,0
OH,6742,SYR,3,572,103,1
OH,6266,IAD,3,573,107,1
DL,1589,PHL,3,575,121,1
9E,4205,RIC,3,580,115,1
MQ,4360,ORD,3,580,85,1
DL,1737,BWI,3,582,98,1
9E,3792,XNA,3,585,136,0
DL,1645,DCA,3,588,99,1
DL,2616,LAS,3,590,240,0
OH,6552,CHA,3,590,99,1
DL,1640,ATL,3,595,127,0
US,231,PHX,3,595,238,0
DL,1562,MEM,3,600,117,1
OH,6652,CVG,3,600,84,0
US,1214,CLT,3,600,117,0
DL,1936,MKE,3,601,70,1
9E,3653,CID,3,605,94,0
9E,4246,IND,3,608,80,0
9E,3838,BUF,3,609,85,0
OH,6265,HSV,3,610,117,1
9E,4286,GRR,3,614,61,0
9E,3673,GRB,3,615,80,1
9E,3898,EVV,3,615,89,0
DL,2220,ORD,3,615,87,0
DL,2913,MSP,3,615,105,1
DL,1928,MCO,3,616,163,1
EV,5279,MCI,3,616,118,0
9E,3726,DSM,3,617,113,1
9E,4089,TVC,3,618,67,1
WN,1762,DEN,3,620,170,1
9E,3764,MLI,3,625,97,1
9E,3977,CLE,3,625,60,0
9E,4011,LAN,3,625,49,1
9E,4114,MSN,3,625,87,0
DL,2446,STL,3,630,94,0
OH,6645,ATW,3,630,79,0
DL,1692,TPA,3,632,158,0
DL,19,LGA,3,635,127,0
FL,1484,MCO,3,642,157,1
AA,2038,MIA,3,650,185,1
F9,623,DEN,3,650,164,0
9E,4147,MDW,3,651,79,0
DL,27,ATL,3,655,125,1
WN,1381,BWI,3,655,100,1
DL,1745,DCA,3,665,95,1
9E,3746,BHM,3,670,130,0
DL,1121,SLC,3,670,210,1
9E,3706,LEX,3,675,88,1
DL,2920,MSY,3,675,148,0
DL,1706,LAX,3,683,267,0
DL,1510,DEN,3,685,170,0
DL,2316,LAS,3,685,244,0
9E,3972,SBN,3,690,68,0
DL,2218,MSP,3,690,110,0
DL,252,FLL,3,692,188,1
9E,3675,IND,3,695,83,0
WN,464,MDW,3,695,65,1
WN,2982,BNA,3,700,95,1
9E,3750,BUF,3,710,83,1
DL,1461,RSW,3,710,170,1
OH,6255,CVG,3,710,85,0
9E,3822,MDT,3,715,103,1
9E,4241,DAY,3,715,70,0
EV,5402,JAX,3,720,150,1
9E,3884,SYR,3,724,91,1
9E,4302,CLE,3,725,60,0
DL,2509,GRB,3,726,78,1
DL,2898,GRR,3,729,58,0
