Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
B6,371,LGA,3,360,174,0
B6,451,BOS,3,365,204,0
AA,2042,DFW,3,385,150,0
CO,1701,EWR,3,410,178,1
DL,1879,LGA,3,415,193,0
FL,1222,PIT,3,420,171,1
AA,568,ORD,3,440,170,1
B6,325,BDL,3,440,197,0
WN,1914,ALB,3,440,200,0
DL,1303,DTW,3,450,192,1
DL,2127,ATL,3,450,110,0
WN,2819,TPA,3,450,60,0
WN,3232,JAX,3,450,70,0
WN,824,MCO,3,450,55,0
AA,663,JFK,3,455,200,0
WN,100,ISP,3,460,185,0
CO,1048,IAH,3,465,143,1
WN,1087,BNA,3,465,130,0
B6,305,IAD,3,469,156,1
B6,1795,DCA,3,470,151,1
US,1885,PHL,3,470,180,0
DL,2577,MSP,3,480,210,0
US,989,CLT,3,480,119,0
B6,1,JFK,3,485,187,1
DL,1499,BDL,3,485,196,1
WN,2698,BDL,3,485,195,1
WN,3595,PVD,3,495,205,0
WN,3862,TPA,3,500,55,0
F9,386,DEN,3,510,227,0
US,1703,DCA,3,510,162,0
WN,1093,BWI,3,510,160,1
WN,2635,PHL,3,510,185,0
WN,957,JAX,3,510,70,0
DL,1627,ATL,3,515,119,0
B6,583,HPN,3,525,179,0
FL,77,ATL,3,525,113,0
FL,954,BWI,3,525,160,1
AA,1394,DFW,3,540,155,1
WN,1497,MSY,3,545,105,1
WN,257,MDW,3,545,185,1
CO,1685,CLE,3,550,175,1
DL,2709,CVG,3,555,149,1
DL,2811,MEM,3,560,143,0
WN,779,MCO,3,560,60,1
B6,1121,RIC,3,565,136,1
WN,187,PHX,3,570,250,0
B6,453,BOS,3,574,204,1
B6,25,JFK,3,575,189,1
DL,1727,ATL,3,575,129,0
WN,821,LAS,3,575,275,1
B6,375,LGA,3,577,186,1
B6,503,EWR,3,586,197,0
US,183,PHX,3,590,258,1
DL,2415,JFK,3,595,187,1
US,1061,PHL,3,595,176,0
US,1997,CLT,3,595,128,0
WN,7,HOU,3,595,135,1
DL,1403,MSP,3,620,213,0
DL,2403,DTW,3,620,191,0
FL,83,ATL,3,620,117,1
US,1905,DCA,3,625,156,0
CO,701,EWR,3,630,185,1
DL,2879,LGA,3,640,199,1
B6,1125,RDU,3,645,120,1
B6,17,JFK,3,650,183,1
WN,1727,ISP,3,650,185,1
WN,2280,RDU,3,650,125,1
FL,1120,IND,3,655,162,0
AA,1494,DFW,3,660,155,1
WN,786,TPA,3,660,60,1
WN,1753,JAX,3,665,70,1
DL,1827,ATL,3,668,120,1
WN,683,MCO,3,680,60,0
B6,455,BOS,3,682,203,1
B6,585,HPN,3,705,179,1
US,881,CLT,3,705,127,1
WN,769,BWI,3,705,160,1
FL,1138,MDT,3,708,167,0
US,1559,PHL,3,710,169,1
B6,1402,AUS,3,715,150,1
WN,1592,BUF,3,715,190,1
WN,1123,MDW,3,720,180,1
WN,912,DEN,3,720,230,0
DL,2727,ATL,3,735,115,0
FL,73,ATL,3,769,110,0
B6,61,JFK,3,772,184,1
B6,505,EWR,3,795,176,1
WN,3851,STL,3,795,160,1
B6,1758,SJU,3,796,164,0
CO,1548,IAH,3,805,144,1
US,1457,CLT,3,805,119,1
B6,377,LGA,3,809,182,0
CO,301,EWR,3,809,179,1
DL,1927,ATL,3,810,110,0
WN,264,TPA,3,815,60,1
WN,1783,BWI,3,835,160,1
AA,1998,DFW,3,840,155,0
DL,2503,DTW,3,840,178,1
WN,126,AUS,3,840,155,1
FL,71,ATL,3,865,110,1
WN,1999,JAX,3,870,70,0
WN,1686,PHL,3,875,175,1
DL,2027,ATL,3,885,114,1
US,1715,DCA,3,885,154,0
B6,309,IAD,3,886,157,0
B6,327,BDL,3,886,192,1
CO,1601,EWR,3,890,182,1
DL,2279,LGA,3,895,198,0
B6,81,JFK,3,899,192,1
WN,324,MDW,3,910,185,1
WN,3322,ISP,3,915,190,1
B6,509,EWR,3,929,183,0
B6,567,SWF,3,929,191,1
DL,155,JFK,3,930,205,1
FL,81,ATL,3,934,111,1
AA,730,ORD,3,935,180,1
AA,821,JFK,3,935,210,1
B6,9,JFK,3,940,199,1
WN,489,MCO,3,950,55,1
US,1557,PHL,3,955,169,0
CO,1648,IAH,3,960,144,1
DL,2227,ATL,3,965,114,1
US,1401,CLT,3,975,120,1
WN,3133,TPA,3,985,60,1
B6,15,JFK,3,995,195,1
FL,959,BWI,3,1006,158,1
AA,436,DFW,3,1015,155,1
WN,174,DEN,3,1020,230,1
FL,75,ATL,3,1030,111,0
DL,1527,ATL,3,1035,113,1
CO,201,EWR,3,1050,184,1
WN,3394,MCI,3,1055,180,1
WN,739,TPA,3,1060,60,1
WN,882,JAX,3,1060,70,1
B6,985,JFK,3,1090,193,0
US,1723,CLT,3,1100,122,0
US,1565,PHL,3,1105,179,1
WN,1425,BNA,3,1105,130,1
B6,381,LGA,3,1109,185,1
FL,1226,PIT,3,1109,165,1
WN,1001,MSY,3,1110,105,1
B6,589,HPN,3,1120,179,1
DL,2779,LGA,3,1135,200,0
EV,5252,TLH,3,1135,84,1
WN,903,MDW,3,1135,180,1
DL,99,JFK,3,1140,204,0
WN,237,BWI,3,1140,160,1
CO,1501,EWR,3,1145,189,1
CO,1748,IAH,3,1145,144,1
WN,1030,MCO,3,1145,55,1
DL,2327,ATL,3,1147,118,1
AA,556,ORD,3,1150,175,1
WN,641,PHL,3,1155,180,1
US,1947,DCA,3,1160,155,0
B6,1760,SJU,3,1162,165,1
WN,404,TPA,3,1180,55,1
B6,459,BOS,3,1185,201,1
DL,2603,DTW,3,1195,184,1
WN,2012,HOU,3,1195,135,1
AA,1134,DFW,3,1200,155,0
FL,951,BWI,3,1210,155,1
DL,2427,ATL,3,1215,112,0
US,1687,CLT,3,1215,121,0
B6,260,LGB,3,1285,276,0
DL,2527,ATL,3,1298,114,1
B6,383,LGA,3,1305,170,1
US,959,CLT,3,1329,115,0
FL,79,ATL,3,1330,114,1
DL,1168,LAX,3,1360,285,0
DL,2202,ATL,3,1370,109,1
B6,371,LGA,4,360,174,1
B6,451,BOS,4,365,204,0
AA,2042,DFW,4,385,150,0
CO,1701,EWR,4,410,178,0
DL,1879,LGA,4,415,193,0
AA,568,ORD,4,440,170,1
B6,325,BDL,4,440,197,0
WN,1914,ALB,4,440,200,0
DL,1303,DTW,4,450,192,1
DL,2127,ATL,4,450,110,0
WN,2819,TPA,4,450,60,0
WN,3232,JAX,4,450,70,1
WN,824,MCO,4,450,55,0
AA,663,JFK,4,455,195,0
FL,442,MKE,4,455,203,0
WN,100,ISP,4,460,185,1
CO,1048,IAH,4,465,143,1
WN,1087,BNA,4,465,130,1
