Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
CO,269,SFO,3,15,205,1
CO,1094,LAX,3,30,181,1
CO,1496,LAS,3,60,162,0
CO,507,ONT,3,75,167,0
CO,1585,MFE,3,325,64,0
CO,222,MSY,3,325,70,0
XE,2827,MAF,3,325,85,0
CO,611,EWR,3,330,233,0
XE,2263,BTR,3,330,72,1
XE,3024,HRL,3,330,70,0
CO,463,ORD,3,335,164,1
XE,2865,MKE,3,335,174,0
CO,214,DFW,3,340,59,1
XE,2616,LRD,3,340,66,1
XE,3006,BRO,3,340,70,0
XE,3015,CRP,3,340,59,1
CO,1677,PHL,3,345,219,0
CO,1727,BWI,3,345,208,0
CO,240,AUS,3,345,55,0
CO,278,SAT,3,345,54,0
CO,633,LGA,3,345,235,0
XE,2919,LFT,3,345,58,0
CO,1045,CLE,3,360,190,0
CO,1428,CLT,3,360,180,0
CO,1617,MCI,3,360,118,1
CO,1810,SMF,3,360,220,0
CO,1815,OMA,3,360,138,1
CO,308,PDX,3,360,238,0
CO,469,SFO,3,360,225,1
CO,759,DCA,3,360,206,0
XE,2143,GSP,3,360,160,1
XE,2231,JAN,3,360,77,1
XE,2384,SHV,3,360,55,0
XE,2485,ORF,3,360,201,0
XE,2644,GPT,3,360,81,1
XE,2652,LEX,3,360,159,1
XE,3037,CHS,3,360,167,0
XE,3047,BHM,3,360,116,1
CO,1406,PIT,3,362,188,1
XE,2783,TYS,3,363,142,0
CO,1093,CMH,3,365,168,1
CO,1471,TUL,3,365,95,0
CO,151,RDU,3,365,180,0
CO,1831,PBI,3,365,163,0
XE,2995,IAD,3,365,211,0
CO,689,DTW,3,366,185,0
CO,1576,SJC,3,375,228,0
CO,1649,FLL,3,375,164,0
CO,223,SEA,3,375,245,0
XE,2046,AEX,3,375,62,0
XE,2072,RIC,3,375,199,1
XE,2175,BNA,3,375,134,0
CO,605,OKC,3,380,80,0
CO,1087,MCO,3,385,150,0
CO,1437,TPA,3,385,142,1
XE,2377,DSM,3,385,150,0
XE,2660,XNA,3,385,104,1
XE,2921,GRR,3,388,182,0
CO,501,IND,3,390,147,0
XE,2149,DAL,3,390,58,0
XE,2281,PNS,3,390,100,0
XE,2327,ICT,3,390,107,0
XE,2392,HSV,3,390,119,0
XE,2684,MEM,3,390,104,0
XE,2719,GRK,3,390,60,1
XE,2959,MOB,3,390,94,0
XE,3017,VPS,3,390,114,0
XE,3030,CRP,3,390,59,1
CO,1563,RSW,3,395,150,1
XE,2091,CVG,3,395,164,0
XE,2367,DAY,3,398,171,0
CO,132,SAN,3,400,190,1
CO,762,MSY,3,400,70,0
CO,1598,SNA,3,405,204,1
CO,162,ONT,3,405,187,1
CO,194,LAX,3,405,194,1
CO,196,LAS,3,405,177,0
CO,333,LGA,3,405,235,0
CO,378,SAT,3,410,61,0
XE,2309,ATL,3,410,129,1
XE,3051,JAX,3,410,146,0
CO,1559,DCA,3,420,209,0
CO,1573,AUS,3,420,57,0
XE,2102,LCH,3,420,44,0
XE,2137,LFT,3,420,64,0
XE,2220,SHV,3,420,62,0
XE,2448,LIT,3,420,85,1
OO,4471,MSP,3,425,171,1
AA,2385,DFW,3,430,75,0
CO,1014,DFW,3,430,66,0
XE,2009,BTR,3,430,70,0
XE,3122,MSY,3,440,72,1
DL,371,ATL,3,445,140,0
XE,3140,SAT,3,445,59,0
CO,733,LGA,3,449,240,1
XE,2538,AUS,3,450,56,0
AA,1263,MIA,3,455,175,0
US,1171,CLT,3,460,170,0
CO,211,EWR,3,465,248,0
CO,440,SLC,3,470,178,0
MQ,3771,ORD,3,470,165,1
CO,347,ORD,3,475,155,0
CO,659,DCA,3,480,208,0
UA,221,ORD,3,491,164,0
CO,166,SEA,3,495,247,1
CO,1729,TUS,3,495,142,1
CO,1561,PHX,3,505,150,0
OO,6647,DEN,3,506,143,1
CO,398,DEN,3,510,141,1
XE,2388,COS,3,510,134,0
CO,669,SFO,3,520,226,1
XE,2282,ELP,3,520,115,0
CO,1890,SNA,3,525,187,1
XE,2706,ABQ,3,525,114,0
CO,1011,EWR,3,530,255,1
EV,5075,ATL,3,548,142,1
CO,1762,MSP,3,555,179,0
EV,5441,CVG,3,555,175,0
9E,3669,MEM,3,560,120,0
CO,1594,LAX,3,560,197,1
US,1125,CLT,3,570,168,1
CO,345,CLE,3,575,186,0
OO,4440,SLC,3,580,180,1
CO,147,ORD,3,585,164,1
CO,1606,SAN,3,585,187,0
CO,296,LAS,3,595,180,1
XE,2421,PHX,3,595,154,1
US,274,PHX,3,599,164,0
AA,1599,DFW,3,610,70,1
CO,783,BOS,3,610,260,1
XE,2119,MCI,3,625,118,0
CO,1033,LGA,3,630,245,1
XE,2645,OKC,3,630,84,0
XE,2709,DAL,3,630,62,0
XE,2860,MKE,3,630,172,1
XE,2226,ELP,3,640,110,0
XE,2206,AMA,3,644,91,0
CO,303,EWR,3,645,240,1
CO,447,ORD,3,645,165,1
XE,2970,LBB,3,645,95,0
CO,1422,MSY,3,647,73,1
UA,97,SFO,3,647,239,0
UA,756,DEN,3,650,150,0
XE,2002,LFT,3,650,62,0
XE,2203,TUL,3,650,89,0
XE,2088,MAF,3,651,84,1
CO,1569,SFO,3,655,224,1
EV,5203,ATL,3,655,133,1
XE,2181,ATL,3,655,140,1
CO,1615,MFE,3,656,69,0
XE,2352,OMA,3,656,140,0
CO,1778,SAT,3,660,56,0
XE,3034,COS,3,660,129,0
XE,2431,IND,3,665,154,1
XE,3069,HRL,3,665,69,0
XE,2620,ICT,3,666,104,0
CO,1572,AUS,3,667,56,0
XE,2735,LRD,3,667,69,0
XE,2098,CRP,3,670,62,0
XE,2316,ABQ,3,670,117,0
XE,2322,BRO,3,671,71,1
XE,2633,BTR,3,671,69,0
CO,461,PHX,3,675,154,1
XE,2178,RDU,3,675,178,0
XE,2358,BHM,3,675,114,0
AS,730,SEA,3,680,250,0
XE,2628,SAV,3,690,162,0
CO,1766,SEA,3,695,248,1
CO,58,DEN,3,695,139,1
XE,2436,JAX,3,695,149,1
XE,2458,BNA,3,695,129,0
XE,2641,MCI,3,695,118,1
CO,411,EWR,3,700,240,1
XE,2023,PIT,3,700,194,1
XE,3031,CLT,3,700,176,1
CO,291,MIA,3,703,167,1
CO,394,LAX,3,705,191,1
XE,2321,CVG,3,705,159,0
XE,2454,MEM,3,705,99,1
XE,2156,TUS,3,706,134,1
CO,1558,SNA,3,710,186,1
CO,1607,TPA,3,710,141,1
XE,3052,CRP,3,710,62,0
XE,3151,TYS,3,710,139,0
XE,2673,DTW,3,712,172,0
CO,1487,MCO,3,715,153,1
XE,2269,LFT,3,715,75,0
XE,2555,GPT,3,715,85,0
XE,2725,DFW,3,715,64,1
CO,1849,FLL,3,720,171,1
MQ,3830,ORD,3,720,165,0
XE,2195,MOB,3,720,90,0
XE,2471,PBI,3,720,169,1
XE,2500,ELP,3,720,115,0
XE,2636,SAT,3,720,58,0
XE,2929,TUL,3,720,91,0
XE,3090,AUS,3,722,56,0
XE,2461,JAN,3,723,77,0
AA,808,DFW,3,725,65,0
DL,1533,ATL,3,725,128,0
CO,727,BWI,3,728,211,0
CO,747,ORD,3,730,171,0
XE,2981,BTR,3,730,64,0
XE,3061,OKC,3,730,84,0
CO,259,DCA,3,735,208,0
CO,726,ONT,3,737,181,1
CO,1512,SJC,3,740,220,1
CO,608,PDX,3,740,235,1
