Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
B6,98,DEN,3,59,213,0
B6,728,BQN,3,335,231,0
B6,107,BUF,3,350,83,0
9E,4008,BTV,3,360,100,0
9E,4324,DCA,3,360,82,0
B6,1001,BOS,3,360,71,1
B6,1133,SYR,3,360,85,0
B6,162,RSW,3,360,156,0
B6,19,BTV,3,360,84,0
B6,45,ROC,3,360,83,0
B6,52,MCO,3,360,141,0
B6,68,FLL,3,360,160,1
MQ,4382,BOS,3,360,79,0
MQ,4448,DCA,3,360,70,0
OH,6379,BOS,3,360,88,0
OH,6560,ORD,3,360,133,0
B6,740,PSE,3,363,237,0
9E,3964,ALB,3,365,90,1
MQ,4414,RDU,3,370,95,0
OH,6397,SYR,3,370,90,0
MQ,4503,CMH,3,375,105,0
OH,6566,RIC,3,375,85,0
9E,3684,PIT,3,380,106,0
DL,2414,FLL,3,380,169,0
B6,110,MSY,3,385,163,0
DL,132,SFO,3,390,330,0
DL,246,LAX,3,390,320,0
DL,2956,SAN,3,390,324,0
DL,1542,SEA,3,395,320,0
DL,2998,PDX,3,400,319,0
9E,4098,RDU,3,420,135,0
B6,1060,AUS,3,420,205,1
B6,620,HOU,3,420,199,1
DL,1821,MIA,3,420,176,0
DL,210,LAS,3,420,295,1
AA,24,SFO,3,425,325,1
AA,518,MIA,3,425,165,0
B6,26,FLL,3,425,160,1
OH,6516,MSP,3,425,165,0
UA,6,SFO,3,425,335,0
B6,350,BUR,3,430,314,1
AA,118,LAX,3,435,325,1
AA,268,SEA,3,435,315,1
B6,127,ROC,3,435,78,0
B6,1005,BOS,3,441,75,0
B6,670,LAX,3,450,309,1
DL,2756,ATL,3,450,135,0
OH,6461,BOS,3,450,87,0
B6,1304,IAD,3,451,73,0
AA,160,SAN,3,460,315,1
B6,94,OAK,3,460,322,1
DL,2662,LAX,3,480,325,1
B6,140,PBI,3,482,148,0
AA,258,LAS,3,485,300,0
B6,109,BUF,3,485,84,0
DL,1994,PHX,3,485,279,0
OH,6692,IAH,3,485,214,0
EV,7111,IAD,3,495,75,1
AA,2546,MCO,3,505,150,0
AA,34,LAX,3,510,325,1
DL,126,SFO,3,510,345,1
UA,22,LAX,3,510,329,1
DL,3,SLC,3,515,285,1
B6,150,MCO,3,535,139,1
OH,6550,DCA,3,535,84,1
MQ,4377,BOS,3,540,80,1
B6,702,SJU,3,550,238,0
B6,904,ORD,3,550,122,0
B6,1007,BOS,3,552,70,0
B6,204,LGB,3,556,314,1
AA,2,LAX,3,560,335,1
AA,648,SJU,3,560,245,0
B6,134,RSW,3,562,158,0
AA,12,SFO,3,565,334,1
US,1452,CLT,3,565,115,1
UA,8,SFO,3,570,344,1
9E,3979,BUF,3,575,100,1
B6,23,SYR,3,575,69,0
DL,1280,ATL,3,575,144,0
B6,72,MCO,3,581,139,0
B6,64,TPA,3,585,145,0
MQ,4436,DCA,3,595,65,0
US,12,PHX,3,595,292,0
AA,684,AUS,3,600,220,0
B6,142,PBI,3,605,149,1
B6,118,MSY,3,610,164,1
B6,51,BTV,3,615,75,1
DL,30,MSP,3,615,164,1
OH,6635,BOS,3,615,86,0
B6,18,FLL,3,616,158,1
MQ,4493,STL,3,620,155,1
B6,1058,PIT,3,625,79,1
OH,6642,ORF,3,627,93,0
B6,46,MCO,3,638,142,1
OH,6600,STL,3,640,145,1
UA,10,SFO,3,641,348,1
B6,1011,BOS,3,650,66,1
DL,1,LAS,3,650,310,0
AA,2556,LAS,3,655,310,0
AA,400,DFW,3,655,205,1
B6,190,LAS,3,657,300,1
B6,1082,CLT,3,659,107,1
9E,4198,DCA,3,660,75,1
OH,6321,ROC,3,660,87,0
AA,40,LAX,3,665,330,1
DL,82,SLC,3,665,276,1
MQ,4393,BOS,3,670,70,1
DL,2090,DEN,3,673,237,1
B6,644,SFO,3,675,321,1
B6,738,BQN,3,675,229,1
B6,908,ORD,3,675,125,1
9E,3915,BTV,3,680,95,0
B6,612,JAX,3,685,125,1
B6,704,SJU,3,685,243,1
OH,6570,ORD,3,687,149,0
DL,1940,SFO,3,690,340,1
DL,2562,LAX,3,690,332,1
B6,24,TPA,3,691,153,1
AA,1510,MIA,3,695,170,1
B6,607,PWM,3,695,74,1
B6,1019,BOS,3,700,68,1
B6,1104,RDU,3,700,83,1
MQ,4687,RDU,3,700,90,1
OH,6764,CLT,3,700,136,0
AA,664,FLL,3,705,175,1
B6,129,BUF,3,705,75,1
B6,346,SRQ,3,705,159,1
B6,53,ROC,3,707,73,1
UA,26,LAX,3,708,333,1
B6,672,LAX,3,709,311,1
MQ,4124,IND,3,715,124,0
MQ,4476,DCA,3,715,65,0
AA,630,MCO,3,720,150,1
B6,12,FLL,3,720,169,1
OH,6467,BOS,3,720,83,0
DL,80,MCO,3,723,155,1
MQ,4145,CMH,3,725,110,0
DL,208,MIA,3,730,180,1
MQ,4314,PIT,3,740,90,0
DL,166,TPA,3,741,165,1
AA,4,LAX,3,745,335,1
B6,154,MCO,3,745,152,1
DL,72,ATL,3,745,145,1
EV,7112,IAD,3,745,80,0
DL,1614,FLL,3,746,179,1
9E,4250,IND,3,750,145,0
AA,16,SFO,3,750,335,1
B6,706,SJU,3,752,241,1
B6,184,SAN,3,755,319,1
AA,1362,ORD,3,760,130,1
B6,27,BTV,3,762,77,1
B6,76,PBI,3,768,160,1
MQ,4242,CLE,3,775,105,0
MQ,4277,CVG,3,775,120,0
UA,870,SFO,3,775,351,1
9E,4037,BDL,3,780,75,1
US,374,CLT,3,785,119,1
B6,136,RSW,3,789,162,0
AA,1428,SJU,3,790,250,0
B6,1062,AUS,3,790,220,0
