Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
AS,600,SEA,3,360,143,0
UA,736,SFO,3,360,98,0
WN,406,SEA,3,360,140,1
WN,702,MDW,3,360,245,1
OO,6232,FAT,3,365,77,1
WN,1461,DEN,3,365,120,1
OO,4553,LAX,3,375,70,0
WN,1056,STL,3,375,235,1
UA,353,LAX,3,380,80,0
WN,2552,RNO,3,380,80,1
WN,219,SMF,3,385,80,0
AA,1887,DFW,3,395,175,0
WN,326,LAX,3,395,60,1
WN,162,IND,3,405,250,1
WN,533,HOU,3,405,205,1
YV,2648,PHX,3,405,68,0
WN,1218,ABQ,3,410,100,0
WN,1590,ONT,3,415,60,0
WN,3773,SLC,3,415,85,1
WN,729,PHX,3,415,65,0
YV,2978,SFO,3,420,85,0
DL,1429,JFK,3,423,357,0
DL,1851,MSP,3,425,213,0
WN,1286,MCI,3,425,195,1
WN,1831,BWI,3,430,330,1
B6,191,JFK,3,435,349,0
WN,2655,TUS,3,435,80,1
WN,507,TPA,3,435,310,1
CO,1097,IAH,3,440,204,0
CO,768,EWR,3,450,342,1
US,204,LAX,3,450,63,0
US,541,DFW,3,450,178,0
WN,1030,SJC,3,450,85,0
WN,641,SFO,3,450,85,1
WN,872,MDW,3,450,255,1
FL,224,MKE,3,455,250,0
WN,1382,RNO,3,455,80,1
WN,1425,SMF,3,455,80,1
WN,2459,DEN,3,455,120,1
AS,602,SEA,3,460,142,0
AA,1413,DFW,3,465,175,0
OO,4820,LAX,3,465,70,0
WN,1739,OAK,3,465,85,1
WN,2022,FLL,3,465,340,0
WN,3420,PHX,3,465,65,0
WN,512,SAN,3,465,70,1
US,1747,PHL,3,470,342,0
WN,1091,ELP,3,470,115,1
WN,1185,MSY,3,470,240,0
WN,697,AUS,3,470,185,1
WN,711,SAT,3,470,175,0
WN,1264,BUR,3,475,60,0
WN,1357,ONT,3,475,60,0
WN,821,LAX,3,475,60,1
US,1783,CLT,3,480,301,0
WN,2970,MDW,3,480,255,1
WN,899,MCO,3,480,325,0
WN,928,CMH,3,480,280,1
AA,1821,MIA,3,485,330,0
HA,6,HNL,3,490,345,0
UA,243,DEN,3,490,123,0
F9,765,DEN,3,493,114,1
WN,1044,PIT,3,495,310,1
WN,1103,PHX,3,495,65,1
WN,351,BUF,3,495,310,1
UA,796,IAD,3,497,319,0
UA,980,ORD,3,501,246,0
DL,2203,ATL,3,505,283,0
DL,1483,SLC,3,508,92,0
US,48,DCA,3,510,324,0
OO,6429,SFO,3,511,94,0
DL,2217,DTW,3,515,285,1
AA,733,LAX,3,520,70,0
US,270,PHX,3,520,71,0
WN,1163,SNA,3,520,70,1
WN,1216,SMF,3,520,80,1
WN,1546,SAN,3,520,70,1
CO,481,CLE,3,525,269,0
CO,568,EWR,3,525,352,1
WN,174,ABQ,3,525,100,0
WN,840,PHX,3,525,65,0
AS,626,PDX,3,530,128,0
WN,214,DEN,3,530,120,1
DL,1751,MSP,3,540,213,1
WN,1392,PDX,3,540,125,1
WN,1124,RNO,3,545,75,0
WN,327,BUR,3,545,60,0
CO,497,IAH,3,555,202,1
DL,2345,CVG,3,555,269,0
WN,778,OMA,3,555,190,0
WN,1076,LAX,3,560,60,1
WN,3320,SFO,3,560,95,0
WN,910,SJC,3,560,85,0
AA,1021,ORD,3,570,235,1
DL,1479,MEM,3,570,234,0
WN,1884,SEA,3,570,150,0
