Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
MQ,4563,CMH,3,340,100,0
9E,3668,TYS,3,360,131,0
B6,370,FLL,3,360,159,1
DL,1371,BOS,3,360,68,0
MQ,4420,BOS,3,360,80,0
MQ,4581,CLT,3,360,110,1
MQ,4629,RDU,3,360,95,0
MQ,4697,DTW,3,360,100,0
OH,6668,CHS,3,360,118,0
UA,668,ORD,3,360,127,1
US,2115,BOS,3,360,70,0
US,2158,DCA,3,360,60,0
AA,398,ORD,3,370,120,0
AA,700,DFW,3,370,190,1
MQ,4590,MSP,3,375,164,0
OH,6594,BHM,3,375,150,1
US,1626,CLT,3,375,100,0
DL,1373,BOS,3,390,82,0
FL,715,CAK,3,390,98,1
MQ,4652,ATL,3,390,120,0
MQ,4488,CRW,3,395,100,0
DL,1486,ATL,3,400,127,1
AA,1114,MIA,3,405,170,1
AA,1088,BNA,3,420,125,1
DL,1498,FLL,3,420,174,1
DL,1996,MSP,3,420,175,1
DL,2276,MCO,3,420,150,1
DL,2452,MSY,3,420,175,1
DL,2952,TPA,3,420,159,1
OH,6331,RDU,3,420,101,0
UA,536,ORD,3,420,132,1
US,2117,BOS,3,420,82,0
US,2160,DCA,3,420,81,0
DL,2366,JAX,3,430,143,1
MQ,4512,XNA,3,430,175,0
YV,7291,IAD,3,434,75,1
AA,394,ORD,3,435,120,0
AA,704,DFW,3,435,194,1
DL,1848,DTW,3,445,121,0
DL,2458,PBI,3,445,169,1
DL,1375,BOS,3,450,76,1
OH,6378,CVG,3,450,124,0
US,2145,BOS,3,450,74,0
FL,360,ATL,3,455,127,1
DL,1586,ATL,3,460,134,0
AA,1256,MIA,3,465,170,1
MQ,4495,BOS,3,475,80,0
MQ,4535,CMH,3,475,105,1
WN,3238,MDW,3,475,150,0
CO,332,IAH,3,478,206,1
AA,2028,STL,3,480,140,1
UA,672,ORD,3,480,132,1
US,1050,CLT,3,480,104,1
US,2119,BOS,3,480,75,1
US,2162,DCA,3,480,74,1
FL,783,PHF,3,484,80,1
F9,454,MKE,3,485,134,1
MQ,4616,RDU,3,490,90,1
UA,358,DEN,3,493,225,0
AA,392,ORD,3,495,120,1
AA,708,DFW,3,495,195,1
FL,501,MKE,3,495,124,0
EV,7136,IAD,3,497,75,1
CO,1412,CLE,3,500,84,1
FL,894,IND,3,506,124,0
DL,1377,BOS,3,510,82,0
DL,2660,MEM,3,510,165,0
UA,234,ORD,3,513,132,0
DL,1686,ATL,3,520,150,0
MQ,4586,MSP,3,525,160,1
MQ,4578,CLT,3,530,115,0
AA,386,ORD,3,535,120,0
DL,1748,DTW,3,535,119,1
MQ,4664,CLE,3,535,95,1
US,2121,BOS,3,540,81,1
US,2164,DCA,3,540,83,0
WN,1510,BWI,3,540,70,0
MQ,4651,ATL,3,545,135,0
UA,674,ORD,3,545,132,0
AA,710,DFW,3,555,200,0
OH,6466,CVG,3,555,122,0
DL,1379,BOS,3,570,74,0
WN,1655,MDW,3,570,130,1
CO,232,IAH,3,575,202,0
DL,1786,ATL,3,580,148,0
AA,1124,MIA,3,585,165,0
B6,372,FLL,3,585,165,1
US,1910,CLT,3,595,115,0
FL,507,MKE,3,599,124,0
DL,2048,DTW,3,600,108,1
DL,2096,MSP,3,600,166,1
UA,676,ORD,3,600,132,1
US,2123,BOS,3,600,79,0
US,2166,DCA,3,600,80,0
AA,712,DFW,3,605,195,1
AA,382,ORD,3,610,120,1
MQ,4573,XNA,3,610,180,1
OH,6258,RDU,3,615,106,0
