Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
B6,766,BQN,3,240,169,0
B6,768,PSE,3,262,180,0
B6,155,JFK,3,360,168,0
B6,1695,BOS,3,360,192,0
B6,742,SJU,3,361,184,0
WN,2377,PIT,3,375,150,1
AA,1434,DFW,3,380,145,0
AA,404,MIA,3,385,60,0
B6,591,HPN,3,390,164,0
FL,1270,DAY,3,390,146,1
WN,250,FLL,3,390,55,0
WN,779,BWI,3,390,140,1
FL,1621,PHL,3,400,158,1
WN,1482,BUF,3,400,170,1
CO,292,EWR,3,405,174,1
WN,891,MHT,3,410,200,1
DL,2685,LGA,3,415,170,0
FL,1612,DCA,3,419,148,0
AA,716,ORD,3,420,155,0
B6,1275,BOS,3,420,194,1
B6,521,EWR,3,420,170,1
B6,661,SYR,3,420,178,0
DL,1769,ATL,3,420,82,0
DL,2533,BOS,3,420,205,0
DL,2923,MSP,3,420,198,0
FL,1091,IND,3,420,144,0
FL,1206,RIC,3,420,131,0
FL,1601,DFW,3,420,149,0
FL,481,BWI,3,420,140,0
OH,6315,RDU,3,420,120,0
WN,2959,BDL,3,420,185,0
WN,3412,MDW,3,420,160,0
WN,845,PHL,3,420,165,0
DL,2665,DCA,3,425,151,0
FL,1244,FNT,3,430,172,0
WN,274,ISP,3,430,170,1
FL,1461,MDW,3,435,159,0
WN,2547,ORF,3,435,125,0
DL,1099,BDL,3,450,186,0
WN,2441,BWI,3,450,145,0
WN,965,DEN,3,450,210,0
UA,164,ORD,3,457,162,0
F9,488,MKE,3,458,169,0
WN,24,RDU,3,460,105,0
CO,586,IAH,3,465,133,1
WN,1026,PVD,3,465,190,0
WN,3485,BNA,3,465,110,1
WN,3596,RSW,3,465,45,0
US,801,CLT,3,470,97,0
WN,2175,ALB,3,470,195,0
WN,201,HOU,3,475,125,1
AA,1777,JFK,3,479,180,0
DL,201,ATL,3,480,86,0
US,987,PHL,3,480,163,0
B6,575,SWF,3,482,176,0
WN,1107,STL,3,485,140,1
WN,350,MDW,3,485,155,1
UA,738,DEN,3,488,213,0
FL,8,SJU,3,490,197,0
WN,1325,IND,3,490,140,0
DL,1959,JFK,3,495,188,0
UA,379,IAD,3,499,147,0
DL,1605,DTW,3,500,175,1
FL,1625,PHL,3,500,169,0
AA,1734,DFW,3,505,145,0
DL,1788,MEM,3,510,120,0
UA,261,LAX,3,515,286,0
US,1159,DCA,3,515,147,0
FL,491,BWI,3,520,146,0
B6,331,BDL,3,522,178,0
AS,18,SEA,3,525,322,1
FL,671,MKE,3,525,168,1
AA,244,LAX,3,530,275,0
B6,335,IAD,3,530,137,1
FL,865,ATL,3,530,90,1
WN,2036,BHM,3,530,90,1
WN,3814,MKE,3,530,170,0
WN,683,ECP,3,530,65,0
WN,1055,MSY,3,535,100,0
DL,1969,ATL,3,540,98,0
UA,206,ORD,3,547,166,1
B6,527,EWR,3,550,176,1
CO,192,EWR,3,550,170,1
WN,2906,FLL,3,550,55,0
B6,667,BUF,3,553,167,0
B6,41,JFK,3,555,181,1
CO,671,CLE,3,555,143,0
DL,2803,CVG,3,560,132,0
WN,1500,PHL,3,560,160,1
US,1843,CLT,3,568,96,1
AA,1872,ORD,3,590,160,1
AA,1980,DFW,3,595,140,0
DL,2069,ATL,3,595,104,0
WN,40,BWI,3,595,140,1
FL,782,PHF,3,596,125,1
US,567,PHX,3,599,246,0
AA,1860,MIA,3,600,65,0
DL,1831,SLC,3,605,257,1
US,1020,PHL,3,605,167,1
UA,802,DEN,3,610,218,1
FL,1187,MLI,3,612,155,0
FL,853,ATL,3,615,95,1
US,1456,DCA,3,615,142,0
WN,185,BDL,3,615,185,1
WN,1933,CMH,3,615,135,1
WN,674,JAN,3,620,100,0
DL,1061,LAX,3,625,276,1
DL,1785,LGA,3,625,178,0
WN,1216,LAS,3,630,265,1
WN,1856,MCI,3,630,165,0
WN,256,PHX,3,630,245,0
WN,908,MDW,3,635,155,1
F9,674,DEN,3,640,212,0
WN,1097,ISP,3,640,170,0
FL,1002,MDT,3,653,148,0
WN,5,MSY,3,655,95,0
B6,339,IAD,3,660,135,0
DL,2169,ATL,3,660,94,0
DL,2669,DCA,3,660,136,0
CO,692,EWR,3,665,173,1
B6,433,BOS,3,670,191,1
B6,593,HPN,3,670,163,0
WN,520,RSW,3,670,50,0
AA,1912,DFW,3,675,145,0
B6,523,EWR,3,680,165,1
B6,744,SJU,3,684,184,1
WN,15,HOU,3,685,125,1
US,1729,CLT,3,688,91,1
US,1585,PHL,3,690,154,1
OH,6501,RDU,3,700,120,0
WN,1252,PVD,3,705,185,1
FL,759,HSV,3,715,105,0
US,951,DCA,3,719,139,1
AA,2547,JFK,3,720,180,1
DL,2269,ATL,3,720,87,1
WN,588,BWI,3,720,140,1
DL,1505,DTW,3,735,160,0
FL,1278,TYS,3,738,97,0
UA,778,IAD,3,739,147,0
FL,1491,CMH,3,741,139,0
AA,1592,DFW,3,745,145,1
B6,31,JFK,3,750,168,1
WN,862,BNA,3,750,105,1
AA,2064,MIA,3,760,60,0
FL,1292,GRR,3,760,155,0
FL,487,BWI,3,760,144,1
WN,1753,FLL,3,760,60,1
UA,270,DEN,3,767,205,0
FL,1742,PIT,3,769,145,0
WN,3504,AUS,3,770,145,0
WN,519,RSW,3,770,50,0
FL,1629,PHL,3,778,155,1
DL,2369,ATL,3,780,87,1
WN,425,SAT,3,780,145,0
US,1710,CLT,3,782,98,1
DL,2623,MSP,3,785,190,1
FL,850,EYW,3,785,65,0
WN,1069,CMH,3,785,135,1
WN,489,PIT,3,785,140,1
WN,780,STL,3,785,140,1
WN,3150,BWI,3,790,145,1
FL,1400,ROC,3,792,173,1
FL,861,ATL,3,798,89,0
B6,693,DCA,3,800,134,0
WN,2353,DEN,3,800,210,1
FL,716,CAK,3,801,145,1
WN,857,ISP,3,805,170,1
UA,292,SFO,3,808,315,0
AA,476,MIA,3,810,60,0
CO,786,IAH,3,815,130,0
B6,435,BOS,3,820,193,0
US,1028,PHL,3,820,152,1
WN,1015,PVD,3,820,190,1
WN,3074,MHT,3,820,205,1
WN,48,RDU,3,820,105,1
B6,1783,JFK,3,830,176,1
FL,1079,HPN,3,837,170,1
DL,2671,DCA,3,839,139,1
FL,1485,DTW,3,839,156,1
DL,1905,DTW,3,840,157,0
UA,288,ORD,3,840,163,1
B6,525,EWR,3,841,165,1
DL,2469,ATL,3,845,91,1
WN,2539,PHL,3,845,160,1
WN,690,ALB,3,850,190,1
AA,544,DFW,3,860,145,0
CO,57,EWR,3,870,174,1
DL,1920,MEM,3,870,120,0
AA,1400,ORD,3,875,155,1
CO,1461,CLE,3,875,144,0
FL,485,BWI,3,878,142,1
WN,748,HOU,3,880,130,1
B6,395,LGA,3,885,174,1
US,1085,CLT,3,885,102,1
UA,148,IAD,3,890,142,0
WN,1155,BNA,3,890,105,1
