Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
9E,3862,SAT,3,345,119,1
OH,6549,MFE,3,345,118,0
9E,3955,LBB,3,355,119,0
9E,4274,AMA,3,355,120,0
9E,3923,IAH,3,360,95,0
9E,3985,DSM,3,360,100,1
9E,4272,ECP,3,360,90,0
OH,6655,OMA,3,360,114,0
OH,6522,PHL,3,365,178,0
DL,2782,MSY,3,370,83,1
EV,5176,VPS,3,370,88,0
EV,5247,DCA,3,370,147,1
OH,6340,EWR,3,370,187,1
9E,3815,PNS,3,375,91,0
9E,3946,MSN,3,375,118,0
9E,3997,MLI,3,375,96,0
DL,1432,BWI,3,375,147,0
DL,1999,MCI,3,375,88,0
EV,5364,MGM,3,375,76,0
EV,7349,OKC,3,375,93,0
9E,3779,FSM,3,380,67,0
9E,3934,TUL,3,380,83,0
9E,4052,DAL,3,380,88,0
EV,5428,LFT,3,380,83,0
EV,7305,HSV,3,385,67,0
EV,7372,GPT,3,385,83,1
9E,3669,SGF,3,390,75,1
9E,3778,COU,3,390,82,0
9E,3970,BHM,3,390,68,0
9E,4001,ORD,3,390,115,1
9E,4211,STL,3,390,75,0
DL,1981,MSP,3,390,125,1
EV,5078,BTR,3,390,76,0
EV,5272,MOB,3,390,76,0
EV,5590,XNA,3,390,66,0
EV,7311,MLU,3,390,70,1
EV,7320,SHV,3,390,66,0
EV,7360,JAN,3,390,64,0
OO,4881,MKE,3,390,115,0
DL,1413,CLT,3,395,119,0
DL,2673,LGA,3,395,185,0
DL,1965,LIT,3,415,60,0
9E,4356,GTR,3,420,55,0
DL,1402,TPA,3,420,122,0
9E,4185,PIT,3,430,143,0
EV,5403,GRR,3,430,122,0
9E,3805,CLE,3,435,144,1
OH,6611,RDU,3,435,139,0
DL,1803,DTW,3,445,138,0
XE,2606,IAH,3,445,91,0
DL,2864,MCO,3,446,129,0
EV,5261,BNA,3,450,70,0
OH,6401,CVG,3,455,103,0
DL,2661,ATL,3,460,91,0
9E,3863,JAX,3,465,120,1
DL,1920,LAX,3,465,221,0
9E,3987,TYS,3,480,89,0
9E,3992,LEX,3,480,85,0
9E,4161,IND,3,480,88,0
DL,1888,LAS,3,480,190,0
YV,7216,ORD,3,501,100,0
OO,4643,SLC,3,523,188,0
AA,1468,DFW,3,535,85,0
FL,536,ATL,3,535,84,1
DL,2736,PHX,3,550,182,1
DL,2575,ATL,3,555,99,0
MQ,4012,ORD,3,580,110,0
YV,2934,PHX,3,585,184,0
XE,2943,EWR,3,599,199,0
OO,6590,DEN,3,610,136,0
DL,2717,BOS,3,625,210,0
EV,5442,EWR,3,640,190,1
9E,4167,ATL,3,645,91,1
DL,1573,LGA,3,655,181,0
9E,3753,MKE,3,660,115,1
DL,2330,MSP,3,660,125,0
OH,6505,PHL,3,660,173,1
9E,4007,ORD,3,670,110,1
9E,4303,MCI,3,670,84,0
9E,3736,COU,3,680,75,0
9E,4282,GPT,3,680,83,1
EV,7368,MOB,3,680,82,0
MQ,3645,MIA,3,680,155,0
US,1792,CLT,3,680,108,1
9E,4300,PNS,3,681,93,0
9E,3832,DSM,3,683,95,0
9E,4003,BHM,3,685,74,0
EV,5013,STL,3,685,74,0
EV,5212,ECP,3,685,93,0
EV,5236,VPS,3,685,93,0
OH,6497,BNA,3,690,69,0
9E,3660,DFW,3,695,95,0
9E,4079,SGF,3,695,68,0
DL,1431,DCA,3,695,150,1
EV,7369,SHV,3,695,68,0
9E,3763,FSM,3,697,67,0
EV,5242,XNA,3,700,66,0
EV,5438,LIT,3,700,62,1
OH,6637,OMA,3,700,112,0
9E,3672,LBB,3,705,117,0
9E,3704,DAL,3,705,90,0
9E,4043,GRR,3,705,128,1
EV,5331,CLE,3,705,124,0
EV,5005,CLT,3,706,123,0
OH,6512,MFE,3,707,118,1
9E,3918,SAT,3,709,116,0
9E,4104,AUS,3,709,110,0
9E,3921,IAH,3,710,105,0
9E,4361,PIT,3,710,135,0
EV,5609,RDU,3,710,128,0
OH,6672,HSV,3,710,65,1
EV,5210,JAN,3,713,71,1
9E,4156,JAX,3,715,118,1
9E,3912,ICT,3,720,93,0
DL,1688,DTW,3,720,125,1
XE,2221,EWR,3,720,177,0
OO,4513,OKC,3,725,94,0
9E,3933,CMH,3,731,112,0
DL,2807,MCO,3,732,135,1
9E,3866,TUL,3,735,81,0
OH,6702,IND,3,735,94,0
YV,7253,ORD,3,737,101,0
EV,5515,LEX,3,740,87,1
DL,2020,LAX,3,743,221,1
DL,1648,MIA,3,745,157,1
9E,4291,TYS,3,750,84,1
DL,1988,LAS,3,750,196,0
OH,6267,CVG,3,750,95,0
DL,2265,ATL,3,755,88,1
AA,1682,DFW,3,765,85,0
XE,2998,IAH,3,780,89,0
YV,2901,CLT,3,780,114,0
DL,2774,MSP,3,795,122,0
DL,2778,SLC,3,830,182,1
DL,2936,PHX,3,830,180,0
MQ,4116,ORD,3,840,110,1
XE,2992,IAH,3,855,85,1
DL,1281,ATL,3,875,85,0
DL,1873,DTW,3,925,126,1
EV,5422,DEN,3,940,130,1
DL,1678,ATL,3,960,87,0
OH,6335,BOS,3,960,210,0
XE,2944,IAH,3,960,93,0
9E,3913,LBB,3,965,115,1
9E,4278,AMA,3,965,120,0
AA,1366,DFW,3,965,85,0
OO,6432,ORD,3,965,101,0
OH,6669,AUS,3,970,106,0
XE,2287,EWR,3,970,179,0
9E,4184,SAT,3,975,115,0
DL,1775,LGA,3,975,190,0
9E,4022,ECP,3,980,90,0
9E,4122,TUL,3,980,78,0
DL,2506,MSP,3,980,120,1
EV,5229,IAH,3,980,99,0
9E,3980,PNS,3,985,91,1
9E,4321,GPT,3,985,84,0
DL,2050,MCI,3,985,84,1
EV,5305,MGM,3,985,72,0
EV,5599,MFE,3,987,113,1
9E,4047,VPS,3,990,91,0
9E,4060,DAL,3,990,89,0
9E,4336,FSM,3,990,65,0
9E,4387,COU,3,990,75,0
EV,5477,OMA,3,990,100,0
OH,6424,DFW,3,990,92,1
OO,4475,DSM,3,990,102,1
EV,5040,BTR,3,995,76,1
EV,7365,MOB,3,995,80,0
DL,1407,MSY,3,996,86,0
DL,2810,FLL,3,998,162,0
9E,3806,ICT,3,1000,88,0
9E,3951,MKE,3,1000,127,1
EV,5604,JAN,3,1000,60,1
EV,5338,LFT,3,1007,77,0
DL,2628,ORD,3,1010,110,1
EV,5280,XNA,3,1010,68,0
OH,6540,OKC,3,1014,88,0
9E,3825,SGF,3,1020,66,0
EV,5536,SHV,3,1020,65,0
EV,7302,HSV,3,1020,62,1
EV,5436,MLU,3,1022,68,0
OH,6481,BNA,3,1025,66,1
EV,7357,STL,3,1030,70,1
OH,6391,BWI,3,1030,160,1
DL,2302,TPA,3,1034,126,0
DL,1556,DTW,3,1035,135,0
EV,5432,LIT,3,1035,55,0
DL,1265,ATL,3,1040,89,1
DL,1631,DCA,3,1040,150,1
EV,7338,TLH,3,1040,96,0
DL,2501,MCO,3,1050,134,0
OH,6351,CVG,3,1050,99,1
9E,4270,PIT,3,1052,137,0
YV,2671,CLT,3,1052,110,0
