Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
AA,1711,BOS,3,330,210,0
AA,674,ORD,3,335,185,1
AA,1141,JFK,3,345,190,0
AA,1297,DFW,3,345,160,0
MQ,3632,CLT,3,350,120,1
AA,1631,MSY,3,360,105,0
AA,1921,EWR,3,360,185,0
AA,1994,IAH,3,360,135,0
AA,2037,BNA,3,360,135,1
AA,2103,IAD,3,360,160,0
AA,2203,LGA,3,360,190,1
AA,2299,DTW,3,360,190,0
AA,528,LAX,3,360,280,1
AA,552,SFO,3,360,315,1
MQ,3650,TYS,3,360,135,0
AA,1851,DCA,3,365,160,1
AA,1938,MSP,3,365,225,0
AA,2127,PHL,3,365,175,0
AA,1354,LAS,3,370,265,0
AA,1723,BWI,3,370,160,0
MQ,3612,BHM,3,370,115,0
MQ,3685,MEM,3,370,145,0
MQ,3600,CHS,3,375,105,0
AA,1433,BDL,3,380,205,0
AA,2515,STL,3,380,160,0
AA,971,ATL,3,380,110,0
CO,338,EWR,3,390,187,1
MQ,3614,CLE,3,390,185,0
MQ,3665,PIT,3,390,180,1
DL,2683,DCA,3,419,159,0
AA,1363,RDU,3,420,130,0
AA,457,MCO,3,420,65,0
AA,937,BOS,3,420,215,0
MQ,3616,IND,3,420,170,1
MQ,3624,PNS,3,420,100,0
AA,941,LGA,3,425,195,0
MQ,3640,CMH,3,425,170,0
AA,1061,JFK,3,430,210,0
AA,1907,DCA,3,430,165,0
AA,202,LAX,3,430,285,0
MQ,3604,CVG,3,430,170,0
MQ,3658,GSO,3,430,135,0
MQ,3672,SDF,3,435,155,0
AA,993,TPA,3,440,65,1
MQ,3620,ORF,3,445,155,1
MQ,3654,RIC,3,445,160,1
AA,1482,SJU,3,450,160,0
CO,1590,IAH,3,450,143,0
DL,2573,ATL,3,450,115,0
US,1155,PHL,3,460,180,1
AA,595,ATL,3,465,115,1
AA,863,DFW,3,470,165,1
AA,2029,LGA,3,479,195,0
AA,1048,ORD,3,480,185,1
DL,269,JFK,3,490,200,0
AA,2585,BOS,3,495,220,0
AA,2041,DCA,3,500,165,1
DL,2473,ATL,3,503,125,0
AA,1051,PHX,3,510,245,0
AA,1552,MCO,3,510,60,0
DL,1829,DTW,3,515,190,0
AA,1126,DEN,3,530,225,1
MQ,3679,TLH,3,530,85,0
AA,846,STT,3,535,180,0
AA,803,DFW,3,540,155,1
MQ,3628,BNA,3,540,140,0
AA,1769,LGA,3,550,200,0
AA,280,LAX,3,550,285,0
AA,627,BOS,3,550,210,0
AA,645,SJU,3,555,165,1
CO,238,EWR,3,555,203,1
DL,2397,CVG,3,560,167,0
DL,2412,MEM,3,565,142,0
MQ,3634,CLT,3,580,135,0
AA,1879,TPA,3,585,65,1
MQ,3606,ATL,3,590,130,1
DL,2373,ATL,3,595,120,0
AA,1156,ORD,3,600,185,0
US,1019,CLT,3,600,131,0
AA,1456,STX,3,605,185,0
AA,1700,IAH,3,620,140,0
AA,599,LGA,3,630,195,0
AA,527,BOS,3,640,215,0
AA,681,JFK,3,640,195,0
DL,1771,JFK,3,645,194,0
AA,1646,DFW,3,650,155,1
AA,2050,ORD,3,650,190,1
DL,2173,ATL,3,650,115,1
AA,437,DCA,3,670,160,1
AA,1689,PHL,3,685,170,1
AA,2093,LGA,3,690,190,0
US,1831,CLT,3,700,132,1
AA,469,STL,3,710,160,0
MQ,3643,JAX,3,715,80,0
AA,1593,MCO,3,720,65,1
AA,1520,LAX,3,725,300,1
DL,2097,ATL,3,730,112,0
AA,1886,SJU,3,735,165,1
AA,2238,ORD,3,740,185,1
MQ,3626,PNS,3,740,110,0
AA,1901,DFW,3,750,160,0
DL,2806,MSP,3,750,214,1
AA,462,MSY,3,760,105,1
CO,438,EWR,3,760,182,1
AA,442,SFO,3,765,320,1
DL,2579,JFK,3,765,183,1
MQ,3670,TLH,3,775,85,0
AA,1039,ATL,3,785,105,0
MQ,3610,BHM,3,785,110,0
US,1675,CLT,3,795,123,1
AA,1119,DCA,3,800,160,1
AA,841,SJU,3,805,165,0
AA,939,RDU,3,805,130,1
AA,795,LGA,3,810,195,0
CO,1790,IAH,3,810,146,0
MQ,3644,MEM,3,810,145,0
DL,1951,ATL,3,815,109,1
AA,1663,TPA,3,825,65,0
MQ,3681,GSO,3,825,130,1
AA,1844,LAS,3,830,265,0
AA,1609,EWR,3,835,195,0
MQ,3636,CLT,3,835,135,0
DL,1329,DTW,3,840,180,1
AA,1246,DFW,3,850,160,1
AA,1348,BOS,3,850,215,0
AA,1374,ORD,3,850,185,1
MQ,3630,BNA,3,860,140,0
US,1029,CLT,3,865,120,1
AA,1983,JFK,3,870,210,1
AA,1267,MCO,3,875,65,1
AA,252,LAX,3,875,280,1
MQ,3668,TYS,3,875,125,0
AA,461,BDL,3,880,195,0
DL,1673,ATL,3,886,114,0
MQ,3648,CVG,3,890,160,0
MQ,3652,SDF,3,890,155,0
MQ,3677,CMH,3,890,170,1
AA,2015,DTW,3,895,190,0
MQ,3693,RIC,3,895,160,0
AA,875,LGA,3,900,205,1
AA,588,SJU,3,905,170,1
AA,985,DCA,3,910,165,1
AA,1947,TPA,3,915,60,1
AA,625,MCO,3,920,65,0
AA,672,STT,3,920,180,0
MQ,3602,CHS,3,925,100,0
AA,1049,BWI,3,930,175,1
AA,484,DFW,3,935,165,1
US,751,PHL,3,935,171,0
AA,2004,ORD,3,940,185,1
DL,2695,DCA,3,940,159,1
AA,1657,JFK,3,965,210,1
DL,1773,ATL,3,965,115,0
AA,1999,EWR,3,985,205,0
MQ,3622,ORF,3,985,155,0
AA,1432,SJU,3,990,180,1
CO,45,EWR,3,990,190,1
AA,1459,LGA,3,995,205,1
MQ,3608,ATL,3,1000,120,0
AA,1904,ORD,3,1005,185,1
AA,1181,DCA,3,1010,170,1
AA,1321,IAD,3,1015,170,0
AA,696,DFW,3,1015,165,1
AA,949,MCO,3,1015,65,1
MQ,3656,PIT,3,1040,170,0
MQ,3691,CLE,3,1040,180,0
DL,69,ATL,3,1045,115,1
AA,1290,STX,3,1050,185,1
AA,562,STL,3,1050,160,1
AA,2202,SJU,3,1055,175,1
AA,838,TPA,3,1055,70,0
AA,1959,BOS,3,1060,225,1
AA,1294,IAH,3,1075,140,0
AA,613,JFK,3,1075,200,1
AA,1245,MCO,3,1080,70,1
US,721,CLT,3,1080,125,1
AA,1314,MSY,3,1085,110,0
AA,735,DCA,3,1090,160,0
AA,443,LGA,3,1100,205,1
MQ,3618,TLH,3,1100,80,1
MQ,3675,CMH,3,1100,170,1
MQ,3660,IND,3,1105,170,0
AA,1672,DFW,3,1110,155,1
AA,1945,ATL,3,1110,130,0
AA,489,PHL,3,1115,185,1
DL,1571,JFK,3,1115,204,0
MQ,3646,JAX,3,1150,80,0
CO,190,IAH,3,1155,143,0
MQ,3674,CLT,3,1155,130,0
DL,1973,ATL,3,1160,124,1
MQ,3698,CVG,3,1160,160,1
AA,1940,ORD,3,1180,180,0
AA,546,DFW,3,1185,160,1
AA,1541,RDU,3,1190,130,0
AA,438,TPA,3,1190,65,0
AA,1687,JFK,3,1199,200,1
AA,1257,DCA,3,1200,165,0
AA,1709,LGA,3,1200,185,1
DL,2229,DTW,3,1200,185,1
US,1033,CLT,3,1215,127,1
AA,1873,MCO,3,1220,65,0
CO,638,EWR,3,1227,194,1
AA,272,SFO,3,1255,315,0
AA,1270,LAX,3,1280,280,0
AA,1736,SJU,3,1285,160,1
DL,2273,ATL,3,1315,117,0
AA,276,LAX,3,1340,280,1
AS,16,SEA,3,1345,330,1
AA,1842,LAS,3,1375,260,0
AA,1488,DEN,3,1435,220,1
AA,1711,BOS,4,330,210,0
AA,674,ORD,4,335,185,0
AA,1141,JFK,4,345,190,0
AA,1297,DFW,4,345,160,0
MQ,3632,CLT,4,350,120,1
AA,1631,MSY,4,360,105,0
AA,1895,LGA,4,360,190,0
AA,1921,EWR,4,360,185,1
AA,1994,IAH,4,360,135,0
AA,2037,BNA,4,360,135,0
AA,2103,IAD,4,360,160,1
AA,2299,DTW,4,360,190,0
AA,528,LAX,4,360,280,0
AA,552,SFO,4,360,315,0
MQ,3650,TYS,4,360,135,0
AA,1851,DCA,4,365,160,0
AA,1938,MSP,4,365,225,0
AA,2127,PHL,4,365,175,0
AA,1354,LAS,4,370,265,0
AA,1723,BWI,4,370,160,1
MQ,3612,BHM,4,370,115,0
MQ,3685,MEM,4,370,145,0
MQ,3600,CHS,4,375,105,0
AA,1433,BDL,4,380,205,0
AA,2515,STL,4,380,160,0
AA,971,ATL,4,380,110,0
CO,338,EWR,4,390,187,0
MQ,3614,CLE,4,390,185,0
MQ,3665,PIT,4,390,180,0
DL,2683,DCA,4,419,159,0
AA,1363,RDU,4,420,130,1
AA,457,MCO,4,420,65,1
AA,937,BOS,4,420,215,0
MQ,3616,IND,4,420,170,1
MQ,3624,PNS,4,420,100,0
AA,941,LGA,4,425,195,0
MQ,3640,CMH,4,425,170,0
AA,1061,JFK,4,430,208,0
AA,1907,DCA,4,430,165,1
AA,202,LAX,4,430,285,0
MQ,3604,CVG,4,430,170,0
MQ,3658,GSO,4,430,135,0
MQ,3672,SDF,4,435,155,1
AA,993,TPA,4,440,65,1
MQ,3620,ORF,4,445,155,0
MQ,3654,RIC,4,445,160,0
AA,1482,SJU,4,450,160,1
CO,1590,IAH,4,450,143,0
DL,2573,ATL,4,450,115,0
DL,2691,MSP,4,450,220,0
US,1155,PHL,4,460,180,0
AA,595,ATL,4,465,115,0
AA,863,DFW,4,470,165,1
AA,2029,LGA,4,479,195,0
AA,1048,ORD,4,480,185,0
DL,269,JFK,4,480,200,1
AA,2585,BOS,4,495,220,0
AA,2041,DCA,4,500,165,0
DL,2473,ATL,4,503,125,0
AA,1051,PHX,4,510,245,1
AA,1552,MCO,4,510,60,0
DL,1829,DTW,4,515,190,1
AA,1126,DEN,4,530,225,0
MQ,3679,TLH,4,530,85,0
AA,846,STT,4,535,180,1
AA,803,DFW,4,540,155,0
MQ,3628,BNA,4,540,140,0
AA,1769,LGA,4,550,200,1
AA,280,LAX,4,550,285,0
AA,627,BOS,4,550,210,0
AA,645,SJU,4,555,165,0
CO,238,EWR,4,555,203,1
DL,2397,CVG,4,560,167,0
DL,2412,MEM,4,565,142,0
FL,228,BWI,4,565,163,0
MQ,3634,CLT,4,580,135,0
AA,1879,TPA,4,585,65,0
MQ,3606,ATL,4,590,130,1
DL,2373,ATL,4,595,120,1
AA,1156,ORD,4,600,185,0
CO,1690,IAH,4,600,144,1
US,1019,CLT,4,600,131,0
AA,1700,IAH,4,620,140,1
AA,599,LGA,4,630,195,0
AA,527,BOS,4,640,215,0
AA,681,JFK,4,640,193,1
DL,1771,JFK,4,645,194,1
AA,1646,DFW,4,650,155,0
AA,2050,ORD,4,650,190,0
DL,2173,ATL,4,650,115,1
AA,437,DCA,4,670,160,1
AA,1689,PHL,4,685,170,0
AA,2093,LGA,4,690,190,0
US,1831,CLT,4,700,132,1
AA,469,STL,4,710,160,0
MQ,3643,JAX,4,715,80,0
AA,1593,MCO,4,720,65,1
AA,1520,LAX,4,725,300,0
DL,2097,ATL,4,730,112,0
AA,1886,SJU,4,735,165,0
AA,2238,ORD,4,740,185,1
MQ,3626,PNS,4,740,110,0
AA,1901,DFW,4,750,160,1
DL,2806,MSP,4,750,214,0
AA,462,MSY,4,760,105,0
CO,438,EWR,4,760,182,0
AA,442,SFO,4,765,320,1
DL,2579,JFK,4,765,183,0
MQ,3670,TLH,4,775,85,0
AA,1039,ATL,4,785,105,1
MQ,3610,BHM,4,785,110,0
US,1675,CLT,4,795,123,1
AA,1119,DCA,4,800,160,1
AA,841,SJU,4,805,165,0
AA,939,RDU,4,805,130,0
AA,795,LGA,4,810,195,0
CO,1790,IAH,4,810,146,0
MQ,3644,MEM,4,810,145,0
DL,1951,ATL,4,815,109,0
AA,1663,TPA,4,825,65,0
MQ,3681,GSO,4,825,130,0
AA,1844,LAS,4,830,265,1
AA,1609,EWR,4,835,195,0
MQ,3636,CLT,4,835,135,0
DL,1329,DTW,4,840,180,1
AA,1246,DFW,4,850,160,0
AA,1348,BOS,4,850,215,1
AA,1374,ORD,4,850,185,0
MQ,3630,BNA,4,860,140,0
US,1029,CLT,4,865,120,0
AA,1983,JFK,4,870,210,0
AA,1267,MCO,4,875,65,0
AA,252,LAX,4,875,280,0
MQ,3668,TYS,4,875,125,1
AA,461,BDL,4,880,195,0
DL,1673,ATL,4,886,114,1
MQ,3648,CVG,4,890,160,0
MQ,3652,SDF,4,890,155,0
MQ,3677,CMH,4,890,170,1
AA,2015,DTW,4,895,190,0
MQ,3693,RIC,4,895,160,0
DL,141,JFK,4,898,199,0
AA,875,LGA,4,900,205,1
AA,588,SJU,4,905,170,0
AA,985,DCA,4,910,165,0
AA,1947,TPA,4,915,60,0
AA,625,MCO,4,920,65,1
AA,672,STT,4,920,180,0
MQ,3602,CHS,4,925,100,0
AA,1049,BWI,4,930,175,0
AA,484,DFW,4,935,165,0
US,751,PHL,4,935,171,0
AA,2004,ORD,4,940,185,0
DL,2695,DCA,4,940,159,1
AA,1657,JFK,4,965,210,1
DL,1773,ATL,4,965,115,0
AA,1999,EWR,4,985,205,1
MQ,3622,ORF,4,985,155,0
AA,1432,SJU,4,990,180,1
CO,45,EWR,4,990,190,1
AA,1459,LGA,4,995,205,0
MQ,3608,ATL,4,1000,120,0
AA,1904,ORD,4,1005,185,1
AA,1181,DCA,4,1010,170,1
AA,1321,IAD,4,1015,170,1
AA,696,DFW,4,1015,165,1
AA,949,MCO,4,1015,65,0
MQ,3656,PIT,4,1040,170,0
MQ,3691,CLE,4,1040,180,0
DL,69,ATL,4,1045,115,1
AA,1290,STX,4,1050,185,0
AA,562,STL,4,1050,160,0
AA,2202,SJU,4,1055,175,0
AA,838,TPA,4,1055,70,0
AA,1959,BOS,4,1060,225,1
AA,1294,IAH,4,1075,140,0
AA,613,JFK,4,1075,200,0
AA,1245,MCO,4,1080,70,1
US,721,CLT,4,1080,125,0
AA,1314,MSY,4,1085,110,0
AA,735,DCA,4,1090,160,0
AA,443,LGA,4,1100,205,0
MQ,3618,TLH,4,1100,80,1
MQ,3675,CMH,4,1100,170,0
MQ,3660,IND,4,1105,170,1
AA,1672,DFW,4,1110,155,1
AA,1945,ATL,4,1110,130,0
AA,489,PHL,4,1115,185,0
DL,1571,JFK,4,1115,204,0
MQ,3646,JAX,4,1150,80,1
CO,190,IAH,4,1155,143,1
MQ,3674,CLT,4,1155,130,0
DL,1973,ATL,4,1160,124,1
MQ,3698,CVG,4,1160,160,0
AA,1940,ORD,4,1180,180,0
AA,546,DFW,4,1185,160,1
AA,1541,RDU,4,1190,130,1
AA,438,TPA,4,1190,65,0
AA,1687,JFK,4,1199,200,1
AA,1257,DCA,4,1200,165,0
AA,1709,LGA,4,1200,185,1
DL,2229,DTW,4,1200,185,0
US,1033,CLT,4,1215,127,0
AA,1873,MCO,4,1220,65,1
CO,638,EWR,4,1227,194,0
AA,272,SFO,4,1255,315,1
AA,1270,LAX,4,1280,280,0
AA,1736,SJU,4,1285,160,0
DL,2273,ATL,4,1315,117,1
AA,276,LAX,4,1340,280,1
AS,16,SEA,4,1345,330,0
AA,1842,LAS,4,1375,260,0
AA,1488,DEN,4,1435,220,0
AA,1711,BOS,5,330,210,0
AA,674,ORD,5,335,185,1
AA,1141,JFK,5,345,190,0
AA,1297,DFW,5,345,160,1
MQ,3632,CLT,5,350,120,1
AA,1631,MSY,5,360,105,0
AA,1895,LGA,5,360,190,0
AA,1921,EWR,5,360,185,0
AA,1994,IAH,5,360,135,0
AA,2037,BNA,5,360,135,0
AA,2103,IAD,5,360,160,0
AA,2299,DTW,5,360,190,0
AA,528,LAX,5,360,280,0
AA,552,SFO,5,360,315,0
MQ,3650,TYS,5,360,135,0
AA,1851,DCA,5,365,160,0
AA,1938,MSP,5,365,225,0
AA,2127,PHL,5,365,175,1
AA,1354,LAS,5,370,265,0
AA,1723,BWI,5,370,160,0
MQ,3612,BHM,5,370,115,0
MQ,3685,MEM,5,370,145,0
MQ,3600,CHS,5,375,105,0
AA,1433,BDL,5,380,205,1
AA,2515,STL,5,380,160,1
AA,971,ATL,5,380,110,0
CO,338,EWR,5,390,187,1
MQ,3614,CLE,5,390,185,0
MQ,3665,PIT,5,390,180,0
DL,2683,DCA,5,419,159,0
AA,1363,RDU,5,420,130,0
AA,457,MCO,5,420,65,0
AA,937,BOS,5,420,215,0
MQ,3616,IND,5,420,170,0
MQ,3624,PNS,5,420,100,0
AA,941,LGA,5,425,195,0
MQ,3640,CMH,5,425,170,0
AA,1061,JFK,5,430,208,0
AA,1907,DCA,5,430,165,0
AA,202,LAX,5,430,285,0
MQ,3604,CVG,5,430,170,0
MQ,3658,GSO,5,430,135,0
MQ,3672,SDF,5,435,155,1
AA,993,TPA,5,440,65,0
MQ,3620,ORF,5,445,155,0
MQ,3654,RIC,5,445,160,0
AA,1482,SJU,5,450,160,1
CO,1590,IAH,5,450,143,0
DL,2573,ATL,5,450,115,0
DL,2691,MSP,5,450,220,1
US,1155,PHL,5,460,180,0
AA,595,ATL,5,465,115,0
AA,863,DFW,5,470,165,0
AA,2029,LGA,5,479,195,0
AA,1048,ORD,5,480,185,1
DL,269,JFK,5,480,200,1
AA,2585,BOS,5,495,220,0
AA,2041,DCA,5,500,165,0
DL,2473,ATL,5,503,125,0
AA,1051,PHX,5,510,245,0
AA,1552,MCO,5,510,60,0
XE,2786,CLE,5,510,174,0
DL,1829,DTW,5,515,190,1
AA,1126,DEN,5,530,225,0
MQ,3679,TLH,5,530,85,0
AA,846,STT,5,535,180,0
AA,803,DFW,5,540,155,1
MQ,3628,BNA,5,540,140,0
AA,1769,LGA,5,550,200,0
AA,280,LAX,5,550,285,1
AA,627,BOS,5,550,210,0
AA,645,SJU,5,555,165,0
CO,238,EWR,5,555,203,0
DL,2397,CVG,5,560,167,0
DL,2412,MEM,5,565,142,0
FL,228,BWI,5,565,163,0
MQ,3634,CLT,5,580,135,0
AA,1879,TPA,5,585,65,0
MQ,3606,ATL,5,590,130,1
DL,2373,ATL,5,595,120,0
AA,1156,ORD,5,600,185,0
CO,1690,IAH,5,600,144,1
US,1019,CLT,5,600,131,0
AA,1700,IAH,5,620,140,0
AA,599,LGA,5,630,195,0
AA,527,BOS,5,640,215,0
AA,681,JFK,5,640,193,1
DL,1771,JFK,5,645,194,0
AA,1646,DFW,5,650,155,1
AA,2050,ORD,5,650,190,0
DL,2173,ATL,5,650,115,0
AA,437,DCA,5,670,160,1
AA,1689,PHL,5,685,170,1
AA,2093,LGA,5,690,190,0
US,1831,CLT,5,700,132,0
AA,469,STL,5,710,160,1
MQ,3643,JAX,5,715,80,0
AA,1593,MCO,5,720,65,1
AA,1520,LAX,5,725,300,1
DL,2097,ATL,5,730,112,1
AA,1886,SJU,5,735,165,0
AA,2238,ORD,5,740,185,0
MQ,3626,PNS,5,740,110,0
AA,1901,DFW,5,750,160,0
DL,2806,MSP,5,750,214,0
AA,462,MSY,5,760,105,0
CO,438,EWR,5,760,182,1
AA,442,SFO,5,765,320,0
DL,2579,JFK,5,765,183,1
MQ,3670,TLH,5,775,85,0
AA,1039,ATL,5,785,105,0
MQ,3610,BHM,5,785,110,0
US,1675,CLT,5,795,123,1
AA,1119,DCA,5,800,160,1
AA,841,SJU,5,805,165,0
AA,939,RDU,5,805,130,1
AA,795,LGA,5,810,195,0
CO,1790,IAH,5,810,146,1
MQ,3644,MEM,5,810,145,0
DL,1951,ATL,5,815,109,0
AA,1663,TPA,5,825,65,0
MQ,3681,GSO,5,825,130,0
AA,1844,LAS,5,830,265,1
AA,1609,EWR,5,835,195,1
MQ,3636,CLT,5,835,135,1
DL,1329,DTW,5,840,180,1
AA,1246,DFW,5,850,160,1
AA,1348,BOS,5,850,215,0
AA,1374,ORD,5,850,185,0
MQ,3630,BNA,5,860,140,0
US,1029,CLT,5,865,120,1
AA,1983,JFK,5,870,210,0
AA,1267,MCO,5,875,65,1
AA,252,LAX,5,875,280,0
MQ,3668,TYS,5,875,125,0
AA,461,BDL,5,880,195,0
DL,1673,ATL,5,886,114,1
MQ,3648,CVG,5,890,160,0
MQ,3652,SDF,5,890,155,1
MQ,3677,CMH,5,890,170,0
AA,2015,DTW,5,895,190,0
MQ,3693,RIC,5,895,160,1
DL,141,JFK,5,898,199,0
AA,875,LGA,5,900,205,1
AA,588,SJU,5,905,170,0
AA,985,DCA,5,910,165,1
AA,1947,TPA,5,915,60,0
AA,625,MCO,5,920,65,1
AA,672,STT,5,920,180,0
MQ,3602,CHS,5,925,100,0
AA,1049,BWI,5,930,175,0
AA,484,DFW,5,935,165,1
US,751,PHL,5,935,171,0
AA,2004,ORD,5,940,185,1
DL,2695,DCA,5,940,159,0
AA,1657,JFK,5,965,210,1
DL,1773,ATL,5,965,115,1
AA,1999,EWR,5,985,205,0
MQ,3622,ORF,5,985,155,1
AA,1432,SJU,5,990,180,0
CO,45,EWR,5,990,190,0
AA,1459,LGA,5,995,205,0
MQ,3608,ATL,5,1000,120,0
AA,1904,ORD,5,1005,185,1
AA,1181,DCA,5,1010,170,1
AA,1321,IAD,5,1015,170,1
AA,696,DFW,5,1015,165,0
AA,949,MCO,5,1015,65,1
MQ,3656,PIT,5,1040,170,0
MQ,3691,CLE,5,1040,180,0
DL,69,ATL,5,1045,115,1
AA,1290,STX,5,1050,185,0
AA,562,STL,5,1050,160,0
AA,2202,SJU,5,1055,175,0
AA,838,TPA,5,1055,70,0
AA,1959,BOS,5,1060,225,1
US,755,PHL,5,1070,179,1
AA,1294,IAH,5,1075,140,0
AA,613,JFK,5,1075,200,1
AA,1245,MCO,5,1080,70,1
US,721,CLT,5,1080,125,0
