Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
US,1289,BOS,3,330,84,0
UA,376,ORD,3,360,125,0
US,1262,MIA,3,360,169,0
US,1267,LGA,3,360,57,0
US,56,ORD,3,360,119,0
US,952,FLL,3,360,157,0
WN,107,MDW,3,375,125,0
US,1210,DFW,3,390,185,0
US,1293,BOS,3,390,93,0
US,1592,ATL,3,390,115,0
US,1744,CLT,3,390,97,0
US,700,LAX,3,390,300,1
US,864,JAX,3,400,126,0
AA,1776,DFW,3,405,185,1
US,1848,MSP,3,405,160,0
US,1274,MHT,3,420,93,0
US,1935,BUF,3,420,81,1
US,433,LAS,3,420,280,0
WN,827,MHT,3,420,95,0
MQ,3893,ORD,3,425,120,0
US,1157,DTW,3,425,99,0
US,1807,PIT,3,425,81,0
US,484,DEN,3,425,210,1
WN,1500,BOS,3,425,100,1
DL,1962,DTW,3,430,110,0
US,1288,RDU,3,430,82,0
DL,2188,MSP,3,435,156,1
US,1023,BDL,3,435,86,0
US,1937,BOS,3,435,101,0
US,1465,PVD,3,440,82,0
CO,776,IAH,3,445,187,1
DL,1694,ATL,3,445,120,1
US,867,SYR,3,445,84,0
WN,1663,TPA,3,445,150,1
US,1510,CLT,3,450,97,0
US,1516,BWI,3,450,52,0
US,817,ORD,3,450,120,0
WN,1855,PIT,3,455,80,1
AA,858,MIA,3,460,160,0
OH,6506,CVG,3,460,106,1
US,1270,PIT,3,460,80,0
WN,119,MDW,3,460,125,0
WN,464,PVD,3,460,85,1
US,1894,PBI,3,470,156,0
US,1694,TPA,3,475,148,0
US,1746,MCO,3,475,142,0
US,1920,RSW,3,480,155,0
US,254,PHX,3,480,263,1
WN,606,RDU,3,490,80,1
WN,226,MCO,3,495,145,1
WN,411,BOS,3,505,100,1
US,1811,BOS,3,510,98,0
US,650,SFO,3,510,315,0
US,710,LAX,3,510,303,0
DL,1494,ATL,3,515,135,1
US,154,SAN,3,525,302,0
US,78,SEA,3,525,305,1
WN,3505,PIT,3,525,80,1
US,1838,RDU,3,535,80,0
WN,824,FLL,3,535,170,1
UA,528,ORD,3,536,121,1
EV,5042,MEM,3,540,140,1
FL,332,ATL,3,540,121,1
US,438,LAS,3,542,279,0
WN,1812,MDW,3,545,115,1
UA,130,LAX,3,546,319,0
UA,184,SFO,3,550,335,1
WN,945,PVD,3,565,80,1
US,1512,CLT,3,570,100,1
US,1559,PIT,3,570,74,1
US,1817,BOS,3,570,95,1
MQ,3836,ORD,3,575,120,1
DL,2794,ATL,3,580,135,0
US,1749,ORD,3,580,115,0
US,1996,SJU,3,585,238,1
DL,1100,SLC,3,595,261,1
US,250,PHX,3,595,278,0
US,958,FLL,3,595,157,0
FL,1624,MCO,3,600,138,1
UA,264,DEN,3,609,214,1
WN,2200,BOS,3,610,100,1
AA,1948,DFW,3,615,185,1
DL,1488,MSP,3,615,152,1
DL,1762,DTW,3,615,104,1
FL,340,ATL,3,615,125,1
US,1614,MCO,3,615,139,1
WN,3830,STL,3,615,130,1
WN,918,MCO,3,620,145,1
US,1819,BOS,3,630,90,0
WN,2539,BNA,3,635,115,1
F9,448,DEN,3,640,209,1
US,1842,JAX,3,645,121,1
WN,1227,RDU,3,645,75,1
WN,970,PBI,3,650,165,1
DL,2194,ATL,3,655,133,1
US,658,SFO,3,665,315,0
WN,1763,TPA,3,665,150,1
US,1596,DFW,3,668,187,0
US,796,LAX,3,670,305,1
WN,731,DEN,3,670,220,1
OH,6279,CVG,3,675,99,1
US,1106,CLT,3,680,95,1
US,962,DEN,3,680,208,0
WN,281,PIT,3,685,80,1
WN,406,PHX,3,685,270,0
US,1183,BOS,3,690,94,0
US,1473,PVD,3,690,93,1
AA,446,DFW,3,695,190,1
US,1093,RDU,3,695,83,0
US,1748,LAS,3,695,286,0
US,87,SEA,3,695,303,1
US,702,PHX,3,705,265,0
US,956,FLL,3,705,159,1
US,758,ORD,3,710,115,1
WN,2785,FLL,3,710,175,1
US,1250,MCO,3,725,143,1
MQ,3764,ORD,3,730,120,1
WN,1055,MCO,3,730,145,1
OH,6552,DTW,3,740,105,0
DL,2694,ATL,3,743,129,1
AA,2332,ORD,3,750,115,1
US,1271,BOS,3,750,94,1
WN,1686,MHT,3,750,100,1
CO,1836,IAH,3,755,194,1
WN,1117,MDW,3,765,120,1
US,1266,ATL,3,770,124,0
AA,1166,DFW,3,780,195,1
US,1762,MSP,3,780,149,1
US,1277,IND,3,785,104,1
US,714,DFW,3,785,189,1
US,846,CLT,3,785,101,1
WN,2006,PIT,3,785,75,1
US,1206,PHX,3,790,266,0
US,1286,MSY,3,790,159,1
UA,128,ORD,3,793,131,1
WN,861,BOS,3,800,100,1
US,1605,BOS,3,810,104,1
DL,2294,ATL,3,820,129,1
US,740,SJU,3,820,244,0
US,750,MIA,3,820,173,1
US,651,SFO,3,825,312,0
US,1247,PBI,3,830,157,1
WN,1128,MHT,3,830,95,1
DL,1862,DTW,3,835,99,1
US,1027,MCO,3,835,145,1
US,1416,LAX,3,835,298,0
US,706,ORD,3,840,122,0
US,742,FLL,3,840,164,1
WN,370,DEN,3,840,220,1
FL,334,ATL,3,851,119,1
US,1042,TPA,3,855,149,1
US,1930,RSW,3,855,158,1
WN,1775,RDU,3,855,80,1
WN,567,BOS,3,860,100,1
US,768,BOS,3,870,98,1
US,1578,CLT,3,875,99,1
AA,1022,MIA,3,885,180,1
DL,1594,ATL,3,890,135,1
US,1750,LAS,3,890,276,1
US,754,ATL,3,890,129,1
US,1582,MCO,3,895,149,1
US,1454,MSY,3,900,166,0
WN,1162,JAX,3,900,135,1
WN,653,BNA,3,900,120,1
EV,5558,DTW,3,915,120,1
US,728,DFW,3,915,185,1
WN,1221,PVD,3,915,95,1
WN,146,LAS,3,915,280,1
XE,3156,CLE,3,915,95,1
DL,1650,MSP,3,925,165,1
US,1135,PVD,3,930,99,0
US,1754,DCA,3,930,85,0
US,718,BOS,3,930,111,1
UA,186,SFO,3,933,326,0
US,1024,SJU,3,940,244,1
US,1095,RDU,3,940,98,1
WN,2287,RSW,3,950,165,1
US,256,PHX,3,955,258,0
DL,2594,ATL,3,960,127,1
US,722,ORD,3,960,123,0
FL,342,ATL,3,961,123,1
CO,1676,IAH,3,970,184,0
WN,1618,STL,3,970,130,1
WN,694,MDW,3,970,125,1
MQ,3745,ORD,3,980,115,1
US,1044,TPA,3,980,149,1
US,1522,CLT,3,980,107,1
US,978,PBI,3,980,153,0
US,1564,FLL,3,985,162,1
US,752,BOS,3,990,101,0
XE,3010,CLE,3,990,77,0
AA,1062,DFW,3,1005,185,1
WN,425,MCO,3,1015,150,1
US,798,MCO,3,1020,148,1
DL,1224,SLC,3,1025,258,1
US,868,JAX,3,1030,129,0
WN,641,PIT,3,1035,90,1
WN,2357,BOS,3,1040,105,1
US,1759,BOS,3,1050,103,1
DL,2262,DTW,3,1055,118,1
UA,340,DEN,3,1062,213,0
FL,1626,MCO,3,1063,141,1
DL,2394,ATL,3,1065,127,0
US,1290,DFW,3,1065,179,1
US,738,PIT,3,1065,76,1
US,1979,PVD,3,1070,97,1
US,788,RDU,3,1070,93,1
US,734,CLT,3,1075,99,0
WN,3509,DEN,3,1080,210,1
WN,41,HOU,3,1080,185,0
UA,626,ORD,3,1086,129,0
