Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
WN,1067,OAK,3,360,85,1
WN,1772,SFO,3,365,85,0
OO,6320,LAX,3,372,48,0
AS,232,SEA,3,390,154,0
WN,2903,SJC,3,395,80,1
MQ,3025,LAX,3,400,45,0
WN,1546,DEN,3,410,150,0
AS,236,PDX,3,415,145,0
WN,694,SMF,3,415,85,0
WN,500,OAK,3,420,85,0
WN,1424,SFO,3,425,85,0
WN,375,PHX,3,450,70,1
OO,6321,LAX,3,452,46,0
MQ,3065,LAX,3,455,45,0
WN,3415,OAK,3,455,85,0
US,162,CLT,3,475,317,0
OO,4800,LAX,3,495,46,1
UA,471,DEN,3,495,148,1
WN,117,TUS,3,495,75,1
WN,466,SAT,3,500,185,1
UA,229,IAD,3,501,337,0
DL,2367,ATL,3,502,290,0
WN,162,LAS,3,505,65,0
UA,189,ORD,3,507,259,0
AA,2079,ORD,3,510,260,1
B6,181,JFK,3,510,374,0
F9,557,DEN,3,510,142,1
WN,3073,BWI,3,510,360,1
WN,958,SJC,3,510,75,0
OO,6322,LAX,3,512,47,0
CO,1626,EWR,3,520,374,1
DL,2833,DTW,3,520,309,0
DL,749,SLC,3,520,120,1
US,180,PHX,3,520,72,0
WN,1481,DEN,3,520,145,1
WN,1752,SFO,3,530,85,1
WN,3307,MDW,3,530,275,1
WN,388,PHX,3,530,70,1
AA,1789,DFW,3,535,190,0
WN,1330,SMF,3,535,85,0
MQ,3055,LAX,3,540,50,0
UA,468,SFO,3,540,96,0
AS,480,SEA,3,545,161,1
DL,1687,MSP,3,550,233,0
DL,2657,JFK,3,550,380,0
CO,739,IAH,3,565,208,1
WN,211,ABQ,3,565,120,1
WN,2613,OAK,3,565,85,1
WN,271,RNO,3,585,85,1
B6,405,BOS,3,590,378,0
UA,449,ORD,3,595,260,1
WN,441,PHX,3,595,75,1
WN,678,SMF,3,595,85,1
MQ,3041,LAX,3,600,40,0
WN,680,AUS,3,610,190,0
OO,6692,LAX,3,611,46,0
WN,1296,HOU,3,620,210,1
WN,2201,SJC,3,620,80,1
AS,578,PDX,3,625,143,1
AA,1629,DFW,3,630,195,1
UA,550,SFO,3,630,96,1
WN,339,OAK,3,635,90,1
AS,490,SEA,3,647,157,1
OO,4831,LAX,3,650,46,0
WN,2459,SMF,3,655,85,1
DL,2967,ATL,3,660,294,1
WN,351,LAS,3,660,65,1
OO,6325,LAX,3,666,46,0
DL,1663,SLC,3,677,114,0
US,195,PHX,3,680,81,0
AA,779,ORD,3,685,260,1
WN,1082,OAK,3,690,85,0
DL,1987,MSP,3,695,235,1
UA,763,DEN,3,695,149,1
WN,2885,TUS,3,705,75,1
WN,2963,SFO,3,705,85,1
WN,3157,MDW,3,705,275,1
MQ,3015,LAX,3,715,45,0
WN,3762,ELP,3,715,115,0
WN,742,SMF,3,715,85,1
OO,6327,LAX,3,731,48,0
WN,1234,OAK,3,745,85,1
WN,272,SJC,3,745,75,0
UA,852,SFO,3,748,96,0
WN,1537,LAS,3,750,65,1
AA,617,DFW,3,755,195,1
WN,1198,PHX,3,755,70,1
UA,231,IAD,3,766,343,0
WN,1104,MCI,3,770,220,1
WN,3138,DEN,3,785,145,0
F9,561,DEN,3,790,137,0
HA,16,HNL,3,790,325,1
WN,11,STL,3,790,240,1
WN,1268,LAS,3,790,65,0
OO,4509,LAX,3,810,45,0
WN,151,SMF,3,810,85,1
