Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
AS,108,ANC,3,30,202,0
CO,223,ANC,3,49,201,1
AS,128,FAI,3,80,206,0
AS,112,ANC,3,90,200,0
AS,114,ANC,3,150,200,0
WN,1289,GEG,3,360,70,0
AS,730,ANC,3,365,205,0
WN,379,OAK,3,370,125,1
WN,1320,LAS,3,375,165,0
AS,477,LAX,3,380,165,0
AS,537,ONT,3,380,166,0
AS,493,SAN,3,390,183,0
AS,323,SJC,3,405,129,0
OO,6925,LAX,3,405,164,0
AS,315,SFO,3,420,124,0
AS,347,OAK,3,420,120,0
AS,371,SMF,3,420,112,0
AS,515,SNA,3,420,173,0
AS,527,BUR,3,420,160,0
AS,603,LAS,3,420,160,0
AS,641,PHX,3,420,188,0
AS,665,DFW,3,420,267,0
AS,699,GEG,3,420,67,0
WN,2121,SMF,3,420,115,0
WN,3338,SJC,3,420,130,1
B6,290,LGB,3,430,163,0
OO,6964,PDX,3,440,50,0
AS,11,EWR,3,450,375,0
AS,120,ANC,3,450,211,0
DL,183,JFK,3,450,380,0
US,84,PHL,3,450,362,1
AA,1157,DFW,3,460,265,0
AS,1,DCA,3,480,360,0
AS,21,ORD,3,480,280,1
AS,517,SNA,3,480,173,0
AS,677,DEN,3,480,175,0
UA,635,ORD,3,482,275,1
AS,17,MIA,3,495,400,1
AS,451,LAX,3,495,170,0
F9,847,DEN,3,495,176,1
UA,201,IAD,3,497,358,1
AS,9,MCO,3,500,385,0
DL,2629,ATL,3,500,331,0
DL,1857,SLC,3,506,137,1
AS,495,SAN,3,510,183,0
UA,875,DEN,3,510,183,0
US,79,PHX,3,510,183,0
DL,2149,DTW,3,515,302,0
WN,109,DEN,3,515,185,1
OO,6921,SFO,3,516,122,1
AS,124,FAI,3,525,225,1
WN,1766,SLC,3,525,135,0
AA,1843,ORD,3,530,270,1
CO,1581,EWR,3,530,384,1
OO,6939,PDX,3,530,49,0
OO,6973,GEG,3,530,72,1
WN,477,MDW,3,530,285,1
AS,357,OAK,3,540,120,0
AS,854,LIH,3,540,329,0
WN,311,PHX,3,540,190,1
AS,878,OGG,3,545,335,0
WN,1944,OAK,3,545,125,0
AS,307,SFO,3,550,129,1
AS,619,LAS,3,550,163,0
AS,860,HNL,3,550,340,0
AS,60,KTN,3,555,116,0
AS,365,SMF,3,560,115,0
DL,1807,CVG,3,560,309,1
AS,82,ANC,3,570,200,0
WN,1008,STL,3,570,265,0
AS,321,SJC,3,575,125,0
US,1539,CLT,3,575,351,1
CO,1767,IAH,3,580,282,0
UA,331,ORD,3,583,279,1
DL,1453,MSP,3,585,223,1
OO,4487,SLC,3,585,135,1
WN,1715,BOI,3,590,85,1
OO,6833,PDX,3,597,54,0
AS,501,SNA,3,600,168,0
DL,1929,ATL,3,600,340,1
AS,303,SFO,3,605,125,0
WN,2810,SMF,3,605,120,1
WN,6,ABQ,3,610,200,1
AS,533,ONT,3,620,161,0
AS,80,ANC,3,630,200,0
WN,327,LAS,3,635,165,1
UA,322,SFO,3,636,134,0
AA,621,DFW,3,640,260,1
AS,453,LAX,3,645,162,1
AS,601,LAS,3,645,160,0
WN,669,OAK,3,645,120,0
AS,529,BUR,3,660,159,0
B6,294,LGB,3,665,161,0
US,71,PHX,3,675,190,0
DL,1753,MSP,3,680,223,0
DL,2157,SLC,3,686,131,1
OO,6947,PDX,3,690,54,1
UA,339,DEN,3,690,183,1
AA,415,ORD,3,700,255,1
OO,6273,GEG,3,700,72,1
UA,241,ORD,3,717,275,0
AS,503,SNA,3,720,168,0
WN,1774,PHX,3,720,195,1
AS,645,PHX,3,725,195,1
AS,675,DEN,3,725,172,0
CO,1834,EWR,3,725,369,1
AA,479,DFW,3,735,260,1
F9,505,DEN,3,735,173,0
AS,325,SJC,3,745,127,0
AS,459,LAX,3,750,157,0
AS,483,SAN,3,750,175,1
AS,86,ANC,3,750,205,0
WN,136,LAS,3,750,165,1
UA,197,IAD,3,762,354,0
CO,267,IAH,3,770,280,1
OO,6723,SFO,3,771,122,0
AS,373,SMF,3,780,110,0
OO,6437,PDX,3,780,50,0
AS,305,SFO,3,785,128,0
AS,605,LAS,3,790,164,0
WN,3252,SLC,3,790,130,0
WN,823,SMF,3,790,110,1
AS,37,MSP,3,795,220,0
AS,76,JNU,3,795,134,1
B6,83,JFK,3,795,374,1
OO,6972,LAX,3,797,164,0
AS,467,LAX,3,810,155,0
WN,1678,RNO,3,815,115,1
AS,62,KTN,3,818,112,0
AS,858,OGG,3,820,333,1
AS,691,GEG,3,825,62,1
AS,661,DFW,3,830,262,0
AS,509,SNA,3,840,168,0
AS,866,KOA,3,840,337,0
AS,497,SAN,3,845,174,1
DL,1457,SLC,3,845,130,1
WN,546,DEN,3,855,185,1
DL,2153,MSP,3,860,220,0
AS,852,HNL,3,865,337,0
AS,92,ANC,3,870,202,0
US,75,PHX,3,875,186,0
WN,1004,OAK,3,875,120,1
HA,22,HNL,3,885,335,0
OO,6275,GEG,3,890,72,0
WN,1589,MCI,3,890,255,1
AS,633,PHX,3,895,187,0
CO,767,IAH,3,900,281,1
DL,2429,ATL,3,900,330,1
OO,4608,SLC,3,905,130,0
AS,465,LAX,3,920,165,0
DL,2949,DTW,3,920,300,1
UA,929,ORD,3,920,275,1
WN,648,PHX,3,925,190,1
AS,23,ORD,3,930,275,0
OO,6599,DEN,3,930,176,0
AA,425,ORD,3,940,270,0
OO,6624,PDX,3,942,50,0
AS,327,SJC,3,945,123,0
WN,3484,LAS,3,945,165,1
AS,611,LAS,3,950,162,0
WN,1525,OAK,3,950,125,1
AS,507,SNA,3,960,165,0
HA,30,OGG,3,970,325,1
OO,6277,LAX,3,980,164,0
AS,555,PSP,3,985,170,1
AA,1255,DFW,3,990,260,0
UA,573,SFO,3,1003,133,1
AS,631,TUS,3,1005,190,1
DL,2257,SLC,3,1005,130,0
WN,288,ABQ,3,1010,200,1
AS,345,OAK,3,1020,120,0
AS,635,PHX,3,1020,185,1
CO,234,ANC,3,1020,200,1
AS,233,SAN,3,1025,170,0
AS,98,ANC,3,1025,205,1
UA,917,IAD,3,1030,358,1
AS,531,ONT,3,1035,162,0
CO,667,IAH,3,1045,277,1
AS,313,SFO,3,1050,120,1
AS,457,LAX,3,1050,165,0
DL,1843,JFK,3,1050,380,1
OO,6423,PDX,3,1050,52,1
AS,363,SMF,3,1055,115,0
AS,673,DEN,3,1055,177,0
DL,2253,MSP,3,1055,223,1
B6,493,BOS,3,1060,377,1
AS,3,DCA,3,1065,355,0
US,74,PHL,3,1070,368,0
US,73,PHX,3,1075,184,1
WN,770,SMF,3,1075,115,1
AS,511,SNA,3,1080,170,0
AS,755,STL,3,1080,268,0
CO,1881,EWR,3,1080,370,1
WN,3511,SLC,3,1080,135,1
AS,64,KTN,3,1082,113,0
US,1543,CLT,3,1085,352,0
AS,743,ATL,3,1090,325,0
F9,843,DEN,3,1090,177,0
WN,582,GEG,3,1090,65,0
AS,15,BOS,3,1095,379,1
AS,19,MCO,3,1095,384,0
AS,669,AUS,3,1095,254,0
AS,731,IAH,3,1105,285,0
AS,471,LAX,3,1110,166,0
AS,7,EWR,3,1110,375,1
WN,293,OAK,3,1115,125,1
AS,39,MSP,3,1120,228,0
WN,541,SJC,3,1120,130,0
AA,269,JFK,3,1125,385,1
AS,553,PSP,3,1125,164,1
AS,521,BUR,3,1130,156,0
AA,1203,DFW,3,1135,260,1
AS,329,SJC,3,1135,124,0
AS,609,LAS,3,1135,159,0
AS,663,DFW,3,1135,270,0
AS,104,ANC,3,1140,202,1
DL,2829,ATL,3,1145,336,0
UA,407,DEN,3,1145,183,0
WN,2712,MDW,3,1145,285,1
AS,485,SAN,3,1150,170,0
OO,7019,PDX,3,1155,52,0
AS,463,LAX,3,1170,162,0
DL,2849,DTW,3,1175,305,1
FL,430,MKE,3,1180,270,1
WN,3761,BOI,3,1180,85,0
AS,29,ORD,3,1185,275,0
AS,317,SFO,3,1185,126,0
AS,695,GEG,3,1185,63,0
B6,296,LGB,3,1189,160,0
AS,505,SNA,3,1200,163,0
AS,66,JNU,3,1200,138,1
AS,349,OAK,3,1210,120,0
WN,692,OAK,3,1210,120,1
DL,1957,SLC,3,1211,134,1
UA,479,SFO,3,1215,134,1
WN,218,LAS,3,1215,165,1
AA,2033,DFW,3,1220,255,1
AS,637,PHX,3,1220,180,0
WN,1370,PHX,3,1220,190,1
UA,117,ORD,3,1227,276,0
WN,738,DEN,3,1230,190,1
AS,613,LAS,3,1240,154,0
AS,221,SFO,3,1245,122,0
AS,245,LAX,3,1260,160,0
CO,467,IAH,3,1260,284,1
OO,7002,LAX,3,1260,164,1
AA,1377,ORD,3,1265,260,1
F9,511,DEN,3,1265,174,1
US,77,PHX,3,1270,187,0
AS,106,ANC,3,1290,202,0
DL,1185,SLC,3,1290,135,1
AA,1017,DFW,3,1295,260,0
DL,1953,MSP,3,1295,223,0
