Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
OO,6505,LMT,3,315,95,0
OO,6407,FAT,3,345,45,0
OO,6921,MOD,3,352,38,0
OO,7014,RDM,3,355,101,0
OO,6245,MFR,3,360,81,0
OO,6330,ONT,3,360,85,0
OO,6345,PSC,3,360,125,0
OO,6359,BOI,3,360,112,1
OO,6405,PDX,3,360,105,0
OO,6766,GEG,3,360,136,1
OO,6820,RDD,3,360,78,0
OO,6893,ACV,3,360,82,1
OO,7008,CIC,3,360,65,0
UA,303,JFK,3,360,404,0
UA,468,SEA,3,360,130,0
UA,510,LAS,3,360,95,0
UA,90,LAX,3,360,89,0
WN,799,LAX,3,360,80,0
OO,6829,SMF,3,362,48,0
UA,59,DEN,3,362,167,0
OO,6369,TUS,3,367,133,1
OO,6374,PSP,3,367,88,0
OO,6826,MRY,3,370,35,0
UA,893,BOS,3,370,410,0
UA,185,PHL,3,377,389,0
UA,671,PHX,3,377,138,0
OO,6832,SBA,3,380,88,0
UA,73,SAN,3,382,103,0
UA,91,EWR,3,383,393,0
AS,304,SEA,3,385,133,0
OO,6401,EUG,3,385,96,0
OO,6828,RNO,3,386,69,0
UA,837,DFW,3,390,241,0
UA,187,IAD,3,391,368,1
UA,61,IAH,3,391,261,0
WN,495,LAS,3,395,95,0
UA,37,MCO,3,397,369,0
UA,954,LAX,3,400,85,0
UA,8,SNA,3,405,101,1
OO,6331,COS,3,408,184,0
OO,6908,ABQ,3,408,167,0
WN,1422,SAN,3,410,100,0
OO,6670,SBP,3,413,65,0
UA,237,PIT,3,415,353,1
OO,6566,SLC,3,416,143,0
AA,59,JFK,3,420,405,0
AS,307,PSP,3,420,86,0
CO,448,EWR,3,420,396,1
UA,149,ORD,3,422,286,1
DL,1124,LAX,3,425,82,0
OO,6276,BUR,3,430,80,0
UA,5,JFK,3,430,404,0
OO,6640,BFL,3,431,79,0
UA,147,SAN,3,431,101,0
AA,1341,ORD,3,435,285,0
DL,2965,JFK,3,435,385,1
WN,289,PHX,3,435,130,1
OO,6667,MFR,3,439,105,0
B6,1438,LGB,3,440,81,0
OO,6400,EUG,3,442,97,0
AS,220,SEA,3,445,126,0
UA,395,SEA,3,450,136,0
WN,1461,LAS,3,450,95,0
OO,6723,AUS,3,455,238,0
UA,344,PDX,3,455,118,0
US,1451,CLT,3,455,342,0
WN,1136,LAX,3,455,80,0
WN,572,SNA,3,455,85,0
UA,322,SNA,3,456,103,0
AA,1920,LAX,3,460,80,0
CO,92,IAH,3,460,262,1
US,657,PHL,3,460,384,0
OO,6253,SAT,3,462,235,0
UA,297,BWI,3,463,372,0
OO,6254,FAT,3,465,67,0
AA,1077,DFW,3,470,230,1
UA,72,HNL,3,471,322,0
OO,6390,BOI,3,477,112,1
UA,537,BOS,3,479,410,0
AS,224,PDX,3,480,117,0
UA,885,LAS,3,482,108,0
UA,157,SAN,3,484,104,0
AA,849,MIA,3,485,380,1
UA,761,ORD,3,485,285,1
UA,7,JFK,3,490,404,0
UA,869,DEN,3,494,176,0
WN,1154,SAN,3,495,100,0
OO,7034,MCI,3,497,238,1
DL,2049,ATL,3,500,335,0
B6,1403,AUS,3,501,240,1
F9,653,DEN,3,505,161,1
OO,6598,SMF,3,506,48,0
UA,889,LAX,3,506,96,0
OO,4611,SLC,3,510,133,1
OO,6378,SBA,3,510,80,0
WN,1615,DEN,3,515,175,1
OO,6252,OTH,3,516,117,0
OO,6329,ACV,3,523,82,1
CO,798,EWR,3,525,401,1
FL,325,ATL,3,525,342,1
US,403,PHX,3,525,130,0
WN,760,MDW,3,530,300,1
AA,1965,DFW,3,535,240,0
CO,555,CLE,3,535,324,0
OO,6255,BUR,3,535,82,1
DL,2745,DTW,3,540,332,1
UA,217,IAD,3,540,368,1
UA,759,ORD,3,540,290,0
CO,170,IAH,3,545,255,1
DL,2305,MSP,3,545,259,1
WN,609,LAX,3,545,80,0
OO,6396,CEC,3,554,98,0
B6,633,BOS,3,555,400,0
FL,610,MKE,3,555,290,0
WN,399,SNA,3,555,90,0
DL,1679,CVG,3,560,317,1
