Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
DL,2223,ANC,3,85,270,0
OO,4719,LWS,3,328,87,1
OO,7781,EKO,3,330,70,0
DL,1106,SEA,3,360,120,0
DL,1831,PDX,3,360,107,1
DL,725,SFO,3,360,113,0
OO,4611,SAT,3,360,175,0
OO,4662,ABQ,3,360,101,0
OO,4802,DFW,3,360,168,1
OO,7763,PIH,3,360,48,0
OO,7768,SGU,3,360,73,1
OO,7799,COD,3,360,89,0
DL,2940,OAK,3,365,108,0
OO,4794,ONT,3,365,104,0
OO,4531,FCA,3,370,97,0
OO,4681,EUG,3,370,113,0
OO,4682,SJC,3,370,112,0
OO,4713,RAP,3,370,104,1
OO,4729,MFR,3,370,112,0
OO,4756,MCI,3,370,162,1
DL,2570,LAX,3,375,119,0
DL,2578,SAN,3,375,120,0
OO,4478,ORD,3,375,205,1
OO,4654,HLN,3,375,69,0
OO,4529,OMA,3,380,156,1
OO,4554,GTF,3,380,88,0
OO,4667,TUL,3,380,154,1
DL,1260,GEG,3,384,110,1
DL,1192,SMF,3,385,103,0
DL,2728,RNO,3,385,92,0
OO,4489,COS,3,385,95,0
OO,4551,RDM,3,385,101,1
OO,4624,FAT,3,385,104,1
OO,4645,BTM,3,385,73,1
OO,4714,CPR,3,385,73,0
OO,4840,BIL,3,385,80,0
DL,1209,BOS,3,390,342,1
DL,1871,BOI,3,390,70,1
OO,4575,OKC,3,390,142,1
OO,4629,PSC,3,390,90,0
OO,4671,MSO,3,390,82,0
OO,4762,PSP,3,390,102,1
OO,4826,FAR,3,390,145,1
OO,7800,TWF,3,390,55,0
OO,4458,BZN,3,395,75,0
OO,4869,MEM,3,395,206,0
DL,1100,LAS,3,400,82,0
OO,4871,BIS,3,400,121,0
WN,2276,LAS,3,400,80,0
DL,2632,SNA,3,405,132,0
OO,4465,GJT,3,405,59,0
OO,4487,IAH,3,405,199,0
WN,1766,PHX,3,405,100,0
OO,4687,IDA,3,410,56,1
OO,4716,LGB,3,410,110,0
OO,7780,SUN,3,410,64,0
WN,3763,OAK,3,410,105,0
DL,2449,BNA,3,415,259,1
DL,1103,JFK,3,420,342,0
DL,1235,EWR,3,420,327,1
DL,749,JAC,3,420,57,1
WN,605,DEN,3,420,95,0
DL,1205,MSP,3,430,185,1
DL,2071,SEA,3,430,131,0
DL,2651,PHL,3,430,318,0
DL,303,MCO,3,430,304,0
OO,4672,BUR,3,430,114,0
OO,4597,DEN,3,435,97,0
DL,1121,BWI,3,440,300,0
OO,4477,FCA,3,440,99,1
DL,1105,ATL,3,445,253,1
DL,1663,IAD,3,450,299,1
DL,2266,PHX,3,450,104,1
DL,2891,PDX,3,450,113,0
OO,4771,ORD,3,450,205,0
OO,4496,BOI,3,460,65,1
OO,4690,LAX,3,463,107,1
OO,6466,LAX,3,464,112,0
OO,4517,BIL,3,465,83,0
OO,4795,BZN,3,470,75,0
OO,7029,SFO,3,473,107,0
DL,2584,STL,3,480,202,0
OO,4574,LAS,3,480,88,0
WN,1687,DEN,3,480,90,0
B6,232,LGB,3,482,103,0
OO,7767,RKS,3,485,65,0
WN,3494,LAX,3,485,105,0
OO,4601,IDA,3,490,56,1
OO,7759,EKO,3,490,78,1
DL,1741,CVG,3,495,251,0
DL,2583,ATL,3,500,265,0
OO,4710,DFW,3,500,168,1
OO,6880,DEN,3,500,101,0
DL,1201,DTW,3,505,251,0
MQ,3772,ORD,3,505,215,1
OO,4680,TUS,3,508,115,0
US,455,PHX,3,510,97,0
OO,4774,ABQ,3,520,101,0
OO,4507,DEN,3,530,95,0
WN,3836,MDW,3,530,215,1
OO,7770,SGU,3,531,84,1
OO,4469,MSO,3,535,82,0
OO,4499,BOI,3,540,68,0
OO,7755,CDC,3,546,74,0
WN,129,PHX,3,550,100,1
WN,1383,GEG,3,550,95,1
OO,7782,SUN,3,561,67,0
DL,1275,JFK,3,565,325,1
WN,237,RNO,3,565,80,1
OO,7764,PIH,3,567,61,1
OO,7801,TWF,3,570,60,1
WN,3425,SEA,3,575,110,1
CO,542,IAH,3,580,196,0
AA,689,DFW,3,600,170,0
OO,4586,ONT,3,600,112,1
WN,3165,PDX,3,600,105,0
OO,4634,LGB,3,602,120,0
OO,4696,OAK,3,609,107,1
OO,4604,SJC,3,610,107,1
OO,4600,SFO,3,613,117,1
DL,2778,SAN,3,615,110,1
OO,4536,RNO,3,615,86,0
OO,4623,SMF,3,615,98,1
DL,2932,SNA,3,617,107,0
DL,2404,LAX,3,618,111,1
DL,2150,SEA,3,623,113,1
OO,4614,DEN,3,625,97,1
DL,1231,PDX,3,627,103,1
WN,1089,LAS,3,640,80,1
WN,704,BOI,3,645,60,1
DL,1184,ATL,3,646,262,1
DL,1740,LAS,3,650,83,0
OO,4839,ABQ,3,660,94,0
DL,718,PHX,3,662,103,0
US,457,PHX,3,670,101,1
OO,4461,SNA,3,674,106,1
DL,2259,MSP,3,675,174,1
OO,4580,LAX,3,678,107,0
OO,4460,BZN,3,690,71,1
OO,4815,SEA,3,690,117,1
OO,7771,SGU,3,696,84,0
OO,4583,DEN,3,700,89,0
OO,4855,BIL,3,700,80,0
OO,4540,MSO,3,703,82,1
OO,4816,SFO,3,705,104,0
WN,949,DEN,3,705,90,0
OO,4558,BOI,3,713,72,1
OO,4675,LWS,3,723,87,1
DL,465,DTW,3,725,244,1
DL,170,LAS,3,728,86,0
DL,1507,ATL,3,730,252,1
AA,1915,DFW,3,735,175,1
OO,4441,FCA,3,735,95,1
OO,7765,PIH,3,735,53,1
OO,4537,PHX,3,740,97,0
OO,4810,TUS,3,750,110,0
OO,4549,RAP,3,755,98,0
OO,4702,LGB,3,756,105,1
OO,4608,DFW,3,760,168,1
WN,660,PHX,3,770,100,1
MQ,3756,ORD,3,775,210,1
OO,7806,COD,3,776,89,0
DL,2334,SFO,3,777,113,0
OO,4659,BIL,3,778,80,0
OO,4698,CPR,3,778,73,0
DL,1224,SMF,3,780,95,1
OO,4621,DEN,3,780,90,1
OO,4683,EUG,3,780,107,0
OO,4754,ONT,3,780,104,0
OO,4760,PSP,3,780,104,1
WN,514,LAS,3,780,75,0
