Airline,Flight,AirportFrom,DayOfWeek,Time,Length,Delay
WN,3762,MSP,3,370,105,1
WN,685,OMA,3,375,70,0
WN,264,DEN,3,385,120,0
XE,2563,EWR,3,385,172,1
WN,1092,MDW,3,390,65,0
WN,1107,LIT,3,390,70,1
WN,1751,HOU,3,390,115,0
AA,407,ORD,3,405,65,0
EV,5070,DCA,3,410,142,1
WN,1246,PHX,3,410,175,1
AA,1258,LAX,3,415,215,0
WN,2198,OKC,3,425,80,0
WN,417,BWI,3,425,145,0
AA,430,DFW,3,430,90,0
AA,581,DCA,3,430,140,0
WN,1178,DAL,3,435,95,1
WN,384,TUL,3,435,70,0
WN,815,MCI,3,440,65,0
DL,2731,DTW,3,442,118,0
XE,2026,IAH,3,445,121,1
DL,1143,ATL,3,450,100,0
WN,3743,BOS,3,450,195,0
WN,780,LAS,3,450,190,1
WN,1127,DAL,3,465,100,0
WN,250,MCO,3,470,155,1
WN,195,MDW,3,475,70,0
AA,1056,DFW,3,480,95,0
WN,1070,BNA,3,495,70,0
AA,1855,LGA,3,510,170,0
DL,1813,ATL,3,520,114,0
FL,795,ATL,3,530,103,1
WN,1499,MDW,3,530,70,1
DL,2559,DTW,3,535,119,0
AA,457,MIA,3,545,165,0
WN,3920,CLE,3,550,110,1
WN,3512,DEN,3,555,120,0
WN,767,DTW,3,555,105,0
WN,1599,LAX,3,560,205,1
WN,3101,PHL,3,560,160,1
XE,2345,EWR,3,565,187,0
WN,1181,CMH,3,570,90,0
EV,7305,MEM,3,575,71,0
OH,6419,CVG,3,575,94,1
OO,4646,SLC,3,585,165,1
WN,2038,DAL,3,585,95,1
AA,1103,ORD,3,590,65,1
US,158,PHX,3,590,180,0
WN,580,SDF,3,590,70,0
WN,29,MDW,3,595,65,1
AA,1002,DFW,3,600,95,0
WN,2092,MCI,3,600,60,0
WN,1569,MCO,3,610,155,1
OH,6756,RDU,3,620,147,0
WN,1568,SAN,3,635,210,1
OO,3072,MKE,3,645,74,1
WN,11,HOU,3,650,110,1
WN,843,BWI,3,650,145,1
WN,521,DAL,3,655,95,1
DL,1047,ATL,3,665,105,0
AS,754,SEA,3,675,225,0
WN,637,PHX,3,675,175,0
YV,2937,CLT,3,679,120,0
WN,702,ABQ,3,680,135,1
WN,3764,BHM,3,685,80,1
AA,890,DFW,3,690,95,0
WN,225,TPA,3,705,145,1
WN,9,MSY,3,705,105,0
AA,1757,LGA,3,725,170,0
AA,761,ORD,3,725,65,1
9E,3874,ATL,3,735,104,1
XE,2452,EWR,3,735,169,1
WN,171,SEA,3,745,225,1
WN,2992,OMA,3,750,70,1
EV,5211,DCA,3,752,143,0
AA,818,LAX,3,755,210,0
WN,755,MDW,3,765,65,1
AA,1249,DCA,3,775,135,0
UA,492,SFO,3,775,226,0
OO,3062,MKE,3,778,74,1
US,156,PHX,3,790,173,0
WN,740,LAS,3,795,190,1
WN,414,BWI,3,805,145,1
WN,1761,RSW,3,815,160,1
AA,1344,DFW,3,825,95,0
DL,1890,ATL,3,825,104,0
WN,408,MSP,3,825,90,1
WN,45,MDW,3,830,65,1
AA,1120,ORD,3,840,65,1
WN,3498,LAX,3,840,205,1
WN,1618,DAL,3,845,100,1
OH,6672,MEM,3,860,73,0
WN,1727,FLL,3,860,180,1
AA,1578,DFW,3,865,95,0
WN,372,MCI,3,875,55,1
YV,2640,CLT,3,875,123,1
AA,583,MIA,3,885,170,1
WN,1931,PHL,3,885,160,1
WN,1943,MCO,3,885,155,1
XE,2364,EWR,3,885,167,0
WN,1434,MDW,3,890,65,1
F9,290,DEN,3,905,115,0
AA,1201,ORD,3,910,65,0
DL,1199,ATL,3,920,107,1
DL,2909,MSP,3,925,96,0
WN,196,DEN,3,925,120,1
9E,4253,RDU,3,930,140,0
WN,1308,HOU,3,930,115,1
WN,3079,BNA,3,930,65,1
XE,2712,IAH,3,930,115,0
FL,791,ATL,3,937,105,0
WN,3415,DAL,3,955,100,0
AA,531,DCA,3,960,135,0
WN,1124,OKC,3,960,85,1
EV,7387,CVG,3,970,89,0
WN,1760,TUL,3,975,70,1
WN,249,LIT,3,975,70,0
OO,3060,MKE,3,984,74,1
